"sofifa_id","short_name","player_positions","overall","potential","value_eur","wage_eur","age","dob","height_cm","weight_kg","club_team_id","club_name","league_name","league_level","club_position","club_jersey_number","club_loaned_from","club_joined","club_contract_valid_until","nationality_id","nationality_name","nation_team_id","nation_position","preferred_foot","weak_foot","skill_moves","international_reputation","work_rate","pace","shooting","passing","dribbling","defending","physic","attacking_crossing","attacking_finishing","attacking_heading_accuracy","attacking_short_passing","attacking_volleys","skill_dribbling","skill_curve","skill_fk_accuracy","skill_long_passing","skill_ball_control","movement_acceleration","movement_sprint_speed","movement_agility","movement_reactions","movement_balance","power_shot_power","power_jumping","power_stamina","power_strength","power_long_shots","mentality_aggression","mentality_interceptions","mentality_positioning","mentality_vision","mentality_penalties","mentality_composure","defending_marking_awareness","defending_standing_tackle","defending_sliding_tackle","goalkeeping_diving","goalkeeping_handling","goalkeeping_kicking","goalkeeping_positioning","goalkeeping_reflexes","goalkeeping_speed","ls","st","rs","lw","lf","cf","rf","rw","lam","cam","ram","lm","lcm","cm","rcm","rm","lwb","ldm","cdm","rdm","rwb","lb","lcb","cb","rcb","rb","gk"
"188567","P. Aubameyang","ST, LW, LM","85","85","43500000.0","145000.0","32","1989-06-18","187","80","1","Arsenal","English Premier League","1","ST","14","nan","2018-01-31","2023","115","Gabon","nan","nan","Right","4","4","3","Medium/Low","89","85.0","75.0","80.0","35.0","69.0","76","89","73","77","83","79","81","76","64","81","87","91","77","86","67","82","75","79","74","78","43","48","90","77","83","87","20","29","36","6","9","15","9","9.0","nan","83+2","83+2","83+2","82","83","83","83","82","81+3","81+3","81+3","81+3","74+3","74+3","74+3","81+3","64+3","58+3","58+3","58+3","64+3","60+3","51+3","51+3","51+3","60+3","17+3"
"192563","B. Leno","GK","83","84","28000000.0","87000.0","29","1992-03-04","190","83","1","Arsenal","English Premier League","1","GK","1","nan","2018-07-01","2023","21","Germany","1337","SUB","Right","3","1","3","Medium/Medium","nan","nan","nan","nan","nan","nan","9","9","13","50","10","16","9","8","48","35","55","56","52","78","44","57","73","43","70","14","28","25","7","56","23","62","27","15","18","85","80","76","83","85.0","55","32+3","32+3","32+3","32","35","35","35","32","38+3","38+3","38+3","36+3","40+3","40+3","40+3","36+3","34+3","38+3","38+3","38+3","34+3","33+3","33+3","33+3","33+3","33+3","82+2"
"209989","T. Partey","CM, CDM","83","83","36500000.0","115000.0","28","1993-06-13","185","77","1","Arsenal","English Premier League","1","RDM","5","nan","2020-10-05","2024","117","Ghana","nan","nan","Right","3","3","2","Medium/High","69","71.0","82.0","81.0","80.0","84.0","74","66","68","87","56","84","69","70","85","83","63","74","75","82","50","86","83","83","84","78","84","81","70","85","49","86","80","84","80","11","13","9","9","7.0","nan","75+2","75+2","75+2","78","78","78","78","78","80+2","80+2","80+2","79+2","83","83","83","79+2","80+2","83","83","83","80+2","79+2","81+2","81+2","81+2","79+2","18+2"
"193301","A. Lacazette","ST","82","82","30000000.0","110000.0","30","1991-05-28","175","73","1","Arsenal","English Premier League","1","SUB","9","nan","2017-07-05","2022","18","France","nan","nan","Right","4","4","3","High/High","75","82.0","74.0","82.0","44.0","72.0","68","83","75","79","79","83","74","74","70","82","77","73","81","82","82","87","76","66","75","78","73","42","82","75","79","80","39","45","32","11","6","9","5","6.0","nan","81+1","81+1","81+1","79","81","81","81","79","80+2","80+2","80+2","78+3","74+3","74+3","74+3","78+3","61+3","62+3","62+3","62+3","61+3","59+3","57+3","57+3","57+3","59+3","15+3"
"222665","M. Ødegaard","CAM, CM","82","88","49000000.0","89000.0","22","1998-12-17","178","68","1","Arsenal","English Premier League","1","CAM","8","nan","2021-08-20","2026","36","Norway","1352","RM","Left","2","5","3","High/Medium","77","74.0","83.0","84.0","58.0","62.0","84","73","52","83","73","85","81","83","81","85","80","75","85","74","83","76","46","78","56","77","63","65","76","86","63","76","65","49","51","14","15","15","8","10.0","nan","74+3","74+3","74+3","81","79","79","79","81","81+3","81+3","81+3","81+3","79+3","79+3","79+3","81+3","72+3","70+3","70+3","70+3","72+3","68+3","60+3","60+3","60+3","68+3","19+3"
"226110","N. Pépé","RM, RW","81","82","30500000.0","95000.0","26","1995-05-29","183","73","1","Arsenal","English Premier League","1","RM","19","nan","2019-08-01","2024","108","Côte d'Ivoire","nan","nan","Left","2","4","2","High/Medium","88","79.0","75.0","83.0","36.0","65.0","77","79","57","76","70","85","81","79","66","81","88","88","88","77","79","81","66","77","68","78","43","33","77","76","85","77","36","34","30","11","14","11","6","8.0","nan","77+2","77+2","77+2","81","80","80","80","81","79+2","79+2","79+2","80+2","72+2","72+2","72+2","80+2","62+2","57+2","57+2","57+2","62+2","58+2","48+2","48+2","48+2","58+2","17+2"
"226491","K. Tierney","LB, CB, LWB","80","86","31000000.0","69000.0","24","1997-06-05","178","70","1","Arsenal","English Premier League","1","LB","3","nan","2019-08-08","2024","42","Scotland","1359","LCB","Left","3","3","2","High/High","84","60.0","75.0","77.0","75.0","79.0","82","52","59","77","38","78","72","56","68","77","86","83","76","76","77","79","80","86","74","66","84","77","73","73","42","74","78","76","76","13","16","8","12","13.0","nan","70+2","70+2","70+2","75","74","74","74","75","74+2","74+2","74+2","76+2","75+2","75+2","75+2","76+2","79+2","77+2","77+2","77+2","79+2","78+2","75+2","75+2","75+2","78+2","20+2"
"246669","B. Saka","RM, LM, LB","80","88","45500000.0","50000.0","19","2001-09-05","178","65","1","Arsenal","English Premier League","1","LM","7","nan","2018-09-14","2025","14","England","1318","SUB","Left","3","3","2","High/Medium","84","68.0","76.0","82.0","65.0","64.0","79","69","45","79","63","84","76","69","63","80","86","82","83","76","83","68","54","77","58","65","66","68","78","79","64","73","65","69","67","7","8","13","9","13.0","nan","71+2","71+2","71+2","79","77","77","77","79","78+2","78+2","78+2","79+2","75+2","75+2","75+2","79+2","75+2","71+2","71+2","71+2","75+2","73+2","66+2","66+2","66+2","73+2","17+2"
"199503","G. Xhaka","CDM, CM","79","79","15500000.0","80000.0","28","1992-09-27","185","82","1","Arsenal","English Premier League","1","LDM","34","nan","2016-07-01","2024","47","Switzerland","nan","nan","Left","2","3","3","Low/Medium","50","64.0","79.0","69.0","69.0","80.0","71","50","62","84","50","66","76","77","84","80","48","52","49","73","61","90","33","84","79","75","91","71","62","78","63","67","71","68","68","7","8","11","7","13.0","nan","67+3","67+3","67+3","67","69","69","69","67","71+3","71+3","71+3","70+3","77+2","77+2","77+2","70+3","72+3","77+2","77+2","77+2","72+3","70+3","71+3","71+3","71+3","70+3","16+3"
"232580","Gabriel","CB","79","84","24000000.0","65000.0","23","1997-12-19","190","87","1","Arsenal","English Premier League","1","LCB","6","nan","2020-09-01","2025","54","Brazil","nan","nan","Left","2","2","2","Medium/High","68","36.0","60.0","58.0","80.0","80.0","38","31","82","75","28","52","47","27","71","66","62","72","51","78","37","51","70","67","86","30","82","78","44","59","40","74","80","81","78","12","8","13","10","7.0","nan","57+2","57+2","57+2","55","57","57","57","55","59+2","59+2","59+2","59+2","65+2","65+2","65+2","59+2","69+2","75+2","75+2","75+2","69+2","72+2","79+2","79+2","79+2","72+2","17+2"
