sofifa_id,short_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
202811,E. Martínez,GK,84,85,33500000,81000,28,1992-09-02,195,88,2,Aston Villa,English Premier League,1,GK,1,nan,2020-09-16,2024,52,Argentina,1369,GK,Right,4,1,3,Medium/Medium,nan,nan,nan,nan,nan,nan,22,16,26,50,13,13,22,20,51,35,59,57,49,80,49,62,60,40,70,16,37,13,12,66,42,60,11,20,20,85,83,82,83,85,58,36+3,36+3,36+3,35,37,37,37,35,40+3,40+3,40+3,38+3,42+3,42+3,42+3,38+3,33+3,37+3,37+3,37+3,33+3,33+3,32+3,32+3,32+3,33+3,83+2
229906,L. Bailey,"RM, RW, LW",82,85,41500000,75000,23,1997-08-09,178,77,2,Aston Villa,English Premier League,1,SUB,31,nan,2021-08-04,2025,82,Jamaica,nan,nan,Left,4,4,3,High/Medium,93,78,74,84,33,64,74,79,57,73,74,86,79,79,66,82,93,93,86,80,84,79,77,75,61,78,55,21,81,80,71,75,45,25,18,12,13,6,15,14,nan,78+3,78+3,78+3,82,81,81,81,82,80+3,80+3,80+3,81+3,72+3,72+3,72+3,81+3,59+3,54+3,54+3,54+3,59+3,55+3,46+3,46+3,46+3,55+3,20+3
195859,D. Ings,ST,81,81,26500000,90000,28,1992-07-23,178,73,2,Aston Villa,English Premier League,1,ST,20,nan,2021-08-04,2024,14,England,nan,nan,Right,4,3,1,High/High,79,84,70,80,45,70,66,86,78,75,76,78,72,70,61,81,82,76,77,86,77,83,79,74,69,83,67,46,86,72,81,85,38,45,34,10,13,12,16,6,nan,81,81,81,79,81,81,81,79,79+2,79+2,79+2,77+2,73+2,73+2,73+2,77+2,63+2,61+2,61+2,61+2,63+2,60+2,57+2,57+2,57+2,60+2,20+2
226162,E. Buendía,RM,79,84,26500000,61000,24,1996-12-25,172,65,2,Aston Villa,English Premier League,1,RW,10,nan,2021-06-10,2026,52,Argentina,nan,nan,Right,4,4,3,High/High,73,73,80,81,64,67,76,73,57,82,68,81,78,74,79,83,75,72,80,76,87,80,45,68,63,72,83,60,73,84,49,77,67,68,61,11,10,13,7,9,nan,74+3,74+3,74+3,78,78,78,78,78,79+3,79+3,79+3,78+3,78+3,78+3,78+3,78+3,71+3,73+3,73+3,73+3,71+3,70+3,67+3,67+3,67+3,70+3,17+3
152908,A. Young,"LWB, LB",78,78,4300000,42000,35,1985-07-09,175,65,2,Aston Villa,English Premier League,1,SUB,18,nan,2021-07-01,2022,14,England,nan,nan,Right,3,4,2,High/Medium,72,66,74,77,73,68,79,63,66,77,74,78,85,75,65,77,79,67,75,78,76,74,68,68,62,63,83,75,69,68,60,79,73,73,72,16,10,15,16,15,nan,71+2,71+2,71+2,74,73,73,73,74,73+2,73+2,73+2,74+2,72+2,72+2,72+2,74+2,75+2,73+2,73+2,73+2,75+2,74+2,72+2,72+2,72+2,74+2,21+2
210881,J. McGinn,"CDM, CM",78,81,16500000,58000,26,1994-10-18,178,68,2,Aston Villa,English Premier League,1,RCM,7,nan,2018-08-08,2025,42,Scotland,1359,CAM,Left,3,3,2,High/High,70,73,75,78,71,80,64,71,59,80,71,80,66,61,83,78,73,67,77,76,80,83,75,90,75,73,79,73,72,76,55,68,69,75,69,9,13,12,10,12,nan,73+2,73+2,73+2,75,75,75,75,75,77+2,77+2,77+2,76+2,78+2,78+2,78+2,76+2,74+2,77+2,77+2,77+2,74+2,73+2,72+2,72+2,72+2,73+2,18+2
212419,T. Mings,CB,78,80,14000000,61000,28,1993-03-13,196,77,2,Aston Villa,English Premier League,1,LCB,5,nan,2019-07-08,2024,14,England,1318,SUB,Left,2,3,2,Medium/Medium,72,44,67,66,78,81,70,37,77,73,34,68,53,37,75,67,62,81,55,79,46,61,71,72,84,42,86,78,53,57,45,71,79,78,77,7,10,13,7,15,nan,61+2,61+2,61+2,63,62,62,62,63,63+2,63+2,63+2,66+2,68+2,68+2,68+2,66+2,74+2,75+2,75+2,75+2,74+2,75+2,78+2,78+2,78+2,75+2,18+2
221697,O. Watkins,ST,78,83,21000000,67000,25,1995-12-30,180,70,2,Aston Villa,English Premier League,1,SUB,11,nan,2020-09-09,2025,14,England,nan,nan,Right,4,3,2,High/High,85,75,68,75,46,71,67,80,81,70,64,75,63,56,59,76,79,89,79,77,73,75,92,88,76,71,34,44,79,74,60,66,40,46,36,14,14,14,6,10,nan,78+2,78+2,78+2,76,77,77,77,76,75+2,75+2,75+2,75+2,70+2,70+2,70+2,75+2,63+2,59+2,59+2,59+2,63+2,61+2,56+2,56+2,56+2,61+2,18+2
227174,M. Cash,RB,78,83,20000000,50000,23,1997-08-07,179,74,2,Aston Villa,English Premier League,1,RB,2,nan,2020-09-03,2025,14,England,nan,nan,Right,3,3,2,High/High,81,63,68,73,72,66,78,66,49,70,48,73,64,48,62,70,79,83,86,76,67,64,80,87,56,64,63,76,61,67,44,72,74,75,76,15,16,13,13,8,nan,66+2,66+2,66+2,72,69,69,69,72,70+2,70+2,70+2,72+2,70+2,70+2,70+2,72+2,76+2,72+2,72+2,72+2,76+2,76+2,70+2,70+2,70+2,76+2,20+2
227678,E. Konsa,"CB, RB",78,84,20000000,50000,23,1997-10-23,183,77,2,Aston Villa,English Premier League,1,RCB,4,nan,2019-07-11,2026,14,England,nan,nan,Right,3,2,2,Medium/Medium,77,39,62,71,79,75,51,34,78,74,35,70,37,38,72,73,73,81,64,80,71,58,78,71,77,32,75,78,50,58,38,77,81,77,78,14,8,11,13,9,nan,61+2,61+2,61+2,63,63,63,63,63,64+2,64+2,64+2,66+2,68+2,68+2,68+2,66+2,73+2,75+2,75+2,75+2,73+2,75+2,78+2,78+2,78+2,75+2,19+2
207948,B. Traoré,"RM, RW",77,78,12500000,57000,25,1995-09-06,181,73,2,Aston Villa,English Premier League,1,SUB,15,nan,2020-09-19,2024,101,Burkina Faso,nan,nan,Left,1,4,2,Medium/Low,78,73,73,82,45,66,73,75,66,74,72,82,79,73,68,86,77,79,88,69,59,73,75,69,65,68,60,54,73,74,69,74,40,40,37,11,7,7,13,12,nan,74+2,74+2,74+2,77,76,76,76,77,77+1,77+1,77+1,76+2,72+2,72+2,72+2,76+2,63+2,61+2,61+2,61+2,63+2,60+2,55+2,55+2,55+2,60+2,17+2
