sofifa_id,short_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
212228,I. Toney,ST,76,80,10500000,46000,25,1996-03-16,187,70,1925,Brentford,English Premier League,1,LS,17,nan,2020-08-31,2025,14,England,nan,nan,Right,3,3,1,High/High,80,75,58,72,46,80,52,80,78,62,76,68,61,56,54,72,80,80,82,77,70,71,89,78,81,65,78,49,79,62,80,77,35,46,41,16,8,8,7,8,nan,76+2,76+2,76+2,71,73,73,73,71,70+2,70+2,70+2,69+2,65+2,65+2,65+2,69+2,59+2,59+2,59+2,59+2,59+2,59+2,59+2,59+2,59+2,59+2,17+2
194201,P. Jansson,CB,75,75,4600000,38000,30,1991-02-13,194,86,1925,Brentford,English Premier League,1,CB,18,nan,2019-07-08,2022,46,Sweden,nan,nan,Right,3,2,1,Medium/Medium,59,42,53,62,75,80,29,29,71,68,41,62,49,40,62,67,56,62,53,74,29,68,55,71,87,50,80,73,28,50,39,75,77,76,73,9,5,14,6,7,nan,55+2,55+2,55+2,53,55,55,55,53,56+2,56+2,56+2,55+2,62+2,62+2,62+2,55+2,65+2,71+2,71+2,71+2,65+2,67+2,75,75,75,67+2,15+2
224258,K. Ajer,CB,75,83,11500000,33000,23,1998-04-17,196,94,1925,Brentford,English Premier League,1,RCB,20,nan,2021-07-21,2026,36,Norway,1352,LCB,Right,3,3,1,High/Medium,73,55,61,68,75,83,55,57,74,73,41,72,58,42,64,74,67,78,48,66,34,64,56,80,90,47,77,73,54,50,49,75,74,76,75,9,9,14,7,10,nan,66+2,66+2,66+2,64,65,65,65,64,64+2,64+2,64+2,66+2,66+2,66+2,66+2,66+2,72+2,73+2,73+2,73+2,72+2,72+2,75+2,75+2,75+2,72+2,15+2
234824,Y. Wissa,"LM, ST, LW",75,78,7500000,37000,24,1996-09-03,176,74,1925,Brentford,English Premier League,1,SUB,11,nan,2021-08-10,2025,110,Congo DR,nan,nan,Right,3,3,1,High/Medium,88,74,65,76,28,68,71,75,58,65,68,77,56,46,60,76,85,91,82,70,73,75,76,71,68,72,61,31,75,68,71,73,25,23,18,14,7,6,8,15,nan,73+2,73+2,73+2,75,74,74,74,75,73+2,73+2,73+2,74+2,65+2,65+2,65+2,74+2,55+2,51+2,51+2,51+2,55+2,51+2,44+2,44+2,44+2,51+2,17+2
239529,F. Onyeka,"CDM, CM",75,81,8000000,33000,23,1998-01-01,183,70,1925,Brentford,English Premier League,1,RCM,15,nan,2021-07-20,2026,133,Nigeria,nan,nan,Right,3,3,1,High/High,87,58,66,72,74,81,57,62,63,72,53,69,56,42,67,73,85,88,81,73,81,61,77,90,80,49,75,76,68,70,48,74,77,74,68,15,9,7,6,14,nan,68+2,68+2,68+2,70,70,70,70,70,70+2,70+2,70+2,72+2,71+2,71+2,71+2,72+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,18+2
220901,David Raya,GK,74,78,4600000,27000,25,1995-09-15,183,75,1925,Brentford,English Premier League,1,GK,1,nan,2019-07-06,2023,45,Spain,nan,nan,Right,3,1,1,Medium/Medium,nan,nan,nan,nan,nan,nan,12,19,20,40,20,17,18,15,30,40,58,46,70,72,45,57,70,29,38,14,29,11,15,64,26,46,28,14,13,73,73,76,70,74,53,33+2,33+2,33+2,35,37,37,37,35,39+2,39+2,39+2,35+2,36+2,36+2,36+2,35+2,29+2,31+2,31+2,31+2,29+2,29+2,27+2,27+2,27+2,29+2,73+2
224494,R. Henry,"LB, LWB",74,79,6000000,31000,23,1997-07-08,170,66,1925,Brentford,English Premier League,1,LWB,3,nan,2016-08-31,2023,14,England,nan,nan,Left,2,3,1,High/Medium,91,40,60,73,67,70,67,40,37,67,33,69,48,39,50,72,92,91,89,71,90,43,92,80,61,34,76,72,65,54,43,64,68,72,68,13,12,12,6,12,nan,58+2,58+2,58+2,67,63,63,63,67,64+2,64+2,64+2,69+2,64+2,64+2,64+2,69+2,73+2,68+2,68+2,68+2,73+2,72+2,67+2,67+2,67+2,72+2,17+2
229723,M. Jensen,CM,74,77,5500000,37000,25,1996-01-01,180,68,1925,Brentford,English Premier League,1,SUB,8,nan,2019-07-10,2023,13,Denmark,1331,SUB,Right,4,3,1,High/Medium,67,63,75,73,65,70,72,61,50,76,50,69,70,68,76,74,68,67,82,74,77,62,67,80,66,67,68,71,69,78,69,79,71,62,57,5,13,10,8,12,nan,65+2,65+2,65+2,71,70,70,70,71,72+2,72+2,72+2,72+2,74+2,74+2,74+2,72+2,70+2,71+2,71+2,71+2,70+2,68+2,66+2,66+2,66+2,68+2,17+2
238717,E. Pinnock,CB,74,75,4000000,37000,28,1993-05-29,194,79,1925,Brentford,English Premier League,1,LCB,5,nan,2019-07-02,2022,82,Jamaica,nan,nan,Left,3,2,1,Medium/High,68,37,57,60,74,79,42,33,74,68,33,55,40,37,62,65,67,69,63,70,55,53,77,74,83,31,77,73,39,57,44,69,74,74,74,5,9,13,6,8,nan,55+2,55+2,55+2,55,55,55,55,55,57+2,57+2,57+2,58+2,62+2,62+2,62+2,58+2,67+2,70+2,70+2,70+2,67+2,69+2,74+1,74+1,74+1,69+2,14+2
243014,B. Mbeumo,"RW, ST, CF",74,82,9500000,32000,21,1999-08-07,171,75,1925,Brentford,English Premier League,1,RS,19,nan,2019-08-05,2024,18,France,nan,nan,Left,2,4,1,Medium/Medium,83,73,69,74,37,63,72,72,52,69,77,73,69,66,64,72,84,82,89,71,75,77,59,76,60,69,53,29,78,72,63,63,34,41,37,7,14,15,13,14,nan,72+2,72+2,72+2,74,73,73,73,74,73+2,73+2,73+2,73+2,67+2,67+2,67+2,73+2,59+2,55+2,55+2,55+2,59+2,56+2,47+2,47+2,47+2,56+2,19+2
