sofifa_id,short_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
239231,Cucurella,"LM, LB",81,87,41500000,63000,22,1998-07-22,172,66,1808,Brighton & Hove Albion,English Premier League,1,SUB,3,nan,2021-08-31,2026,45,Spain,nan,nan,Left,3,3,1,High/Medium,79,67,78,80,73,74,81,68,57,81,55,80,78,48,79,81,78,80,78,82,83,73,77,88,66,65,76,73,79,78,47,74,71,78,77,13,7,9,10,11,nan,73+2,73+2,73+2,78,77,77,77,78,78+2,78+2,78+2,80+2,79+2,79+2,79+2,80+2,79+2,78+2,78+2,78+2,79+2,78+2,73+2,73+2,73+2,78+2,18+2
236480,Y. Bissouma,"CDM, CM",79,84,24500000,50000,24,1996-08-30,182,80,1808,Brighton & Hove Albion,English Premier League,1,LCM,8,nan,2018-07-17,2023,126,Mali,nan,nan,Right,3,4,1,High/Medium,70,68,75,78,77,75,65,58,65,80,65,80,62,75,77,78,69,71,73,79,77,82,80,80,73,79,74,81,68,76,58,75,73,83,76,12,8,8,12,8,nan,71+2,71+2,71+2,73,74,74,74,73,75+2,75+2,75+2,74+2,78+2,78+2,78+2,74+2,76+2,78+2,78+2,78+2,76+2,76+2,76+2,76+2,76+2,76+2,17+2
199915,L. Dunk,CB,78,79,13000000,56000,29,1991-11-21,192,88,1808,Brighton & Hove Albion,English Premier League,1,LCB,5,nan,2010-07-01,2025,14,England,nan,nan,Right,3,2,1,Medium/High,46,51,62,64,79,78,32,42,76,75,24,65,52,69,75,70,39,52,38,82,39,72,74,68,83,67,80,78,30,58,36,77,81,78,78,15,16,9,12,6,nan,59+2,59+2,59+2,56,59,59,59,56,61+2,61+2,61+2,58+2,68+2,68+2,68+2,58+2,67+2,76+2,76+2,76+2,67+2,69+2,78+1,78+1,78+1,69+2,20+2
207421,L. Trossard,"LM, LW, ST",77,78,12500000,55000,26,1994-12-04,172,67,1808,Brighton & Hove Albion,English Premier League,1,CAM,11,nan,2019-07-01,2023,7,Belgium,1325,SUB,Right,4,4,1,High/Medium,82,76,74,80,30,61,74,76,62,75,74,79,81,69,73,77,89,76,92,72,85,76,78,71,60,79,47,18,75,74,75,80,30,31,18,14,8,11,7,7,nan,74+2,74+2,74+2,77,76,76,76,77,77+1,77+1,77+1,76+2,70+2,70+2,70+2,76+2,55+2,52+2,52+2,52+2,55+2,51+2,43+2,43+2,43+2,51+2,16+2
208004,J. Veltman,"CB, RB, RWB",77,77,9000000,52000,29,1992-01-15,184,75,1808,Brighton & Hove Albion,English Premier League,1,RWB,34,nan,2020-07-29,2023,34,Netherlands,nan,nan,Right,4,2,2,Medium/Medium,64,49,66,69,79,76,70,50,74,74,38,66,40,34,73,72,64,64,66,77,66,60,78,75,74,41,82,79,55,55,42,78,78,82,77,7,10,6,9,11,nan,63+2,63+2,63+2,64,63,63,63,64,64+2,64+2,64+2,67+2,69+2,69+2,69+2,67+2,74+2,76+1,76+1,76+1,74+2,75+2,77,77,77,75+2,17+2
211784,N. Maupay,ST,77,82,16000000,52000,24,1996-08-14,173,69,1808,Brighton & Hove Albion,English Premier League,1,RS,9,nan,2019-08-05,2023,18,France,nan,nan,Right,4,3,1,Medium/Medium,77,78,67,73,41,71,61,80,73,74,76,68,63,55,59,78,79,76,76,79,81,78,59,74,67,71,80,26,82,69,80,69,30,55,33,11,12,7,8,14,nan,77+2,77+2,77+2,74,76,76,76,74,74+2,74+2,74+2,73+2,69+2,69+2,69+2,73+2,58+2,58+2,58+2,58+2,58+2,57+2,54+2,54+2,54+2,57+2,18+2
190765,P. Groß,"CM, RM, CAM",76,76,7000000,51000,30,1991-06-15,181,78,1808,Brighton & Hove Albion,English Premier League,1,RCM,13,nan,2017-07-01,2022,21,Germany,nan,nan,Right,4,4,2,Medium/Medium,50,74,80,75,58,71,82,72,53,80,65,76,83,77,79,77,55,45,66,77,73,76,71,79,68,80,69,58,75,80,70,79,56,60,59,8,15,15,16,11,nan,70+2,70+2,70+2,73,73,73,73,73,75+1,75+1,75+1,74+2,76,76,76,74+2,68+2,70+2,70+2,70+2,68+2,65+2,62+2,62+2,62+2,65+2,20+2
228789,Robert Sanchéz,GK,76,82,9500000,31000,23,1997-11-18,197,85,1808,Brighton & Hove Albion,English Premier League,1,GK,1,nan,2015-05-14,2025,45,Spain,1362,SUB,Right,4,1,1,Medium/Medium,nan,nan,nan,nan,nan,nan,12,14,15,46,15,15,12,14,50,37,45,44,31,71,35,52,70,40,66,16,27,8,7,56,15,55,18,13,15,76,73,69,75,78,45,31+2,31+2,31+2,31,33,33,33,31,36+2,36+2,36+2,34+2,38+2,38+2,38+2,34+2,29+2,34+2,34+2,34+2,29+2,28+2,28+2,28+2,28+2,28+2,75+2
180819,A. Lallana,"CM, CAM, RW",75,75,3500000,49000,33,1988-05-10,178,73,1808,Brighton & Hove Albion,English Premier League,1,SUB,14,nan,2020-07-27,2023,14,England,nan,nan,Right,5,4,2,High/High,67,70,78,79,62,56,74,69,64,81,72,80,77,66,75,81,70,64,77,73,75,72,68,34,60,68,71,63,74,80,70,80,61,62,62,6,15,14,8,11,nan,72+2,72+2,72+2,75,75,75,75,75,Feb-77,Feb-77,Feb-77,74+1,74+1,74+1,74+1,74+1,66+2,68+2,68+2,68+2,66+2,65+2,65+2,65+2,65+2,65+2,17+2
198032,D. Burn,"CB, LB",75,75,4700000,46000,29,1992-05-09,198,87,1808,Brighton & Hove Albion,English Premier League,1,SUB,33,nan,2018-08-09,2023,14,England,nan,nan,Left,3,2,1,Medium/High,48,33,63,58,75,80,67,25,78,69,22,59,48,46,66,64,40,55,33,72,30,53,54,70,89,29,78,73,37,52,48,68,75,77,73,15,13,7,8,10,nan,52+2,52+2,52+2,53,52,52,52,53,54+2,54+2,54+2,58+2,62+2,62+2,62+2,58+2,68+2,71+2,71+2,71+2,68+2,69+2,75,75,75,69+2,18+2
