sofifa_id,short_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
203841,N. Pope,GK,83,83,25000000,45000,29,1992-04-19,199,76,1796,Burnley,English Premier League,1,GK,1,nan,2016-07-20,2023,14,England,nan,nan,Right,3,1,1,Medium/Medium,nan,nan,nan,nan,nan,nan,11,14,11,32,14,15,13,12,35,24,50,47,36,78,42,56,72,37,75,15,36,21,13,45,22,63,14,15,14,81,83,75,83,84,49,31+2,31+2,31+2,28,31,31,31,28,31+2,31+2,31+2,30+2,32+2,32+2,32+2,30+2,28+2,31+2,31+2,31+2,28+2,28+2,29+2,29+2,29+2,28+2,82+1
202695,J. Tarkowski,CB,81,82,24500000,46000,28,1992-11-19,188,81,1796,Burnley,English Premier League,1,RCB,5,nan,2016-02-01,2022,14,England,nan,nan,Right,4,2,1,Low/High,57,45,67,65,82,81,59,40,83,74,40,63,54,53,73,69,50,62,55,79,53,63,85,71,84,38,85,82,43,65,52,78,82,82,80,14,8,12,9,7,nan,60+2,60+2,60+2,59,60,60,60,59,62+2,62+2,62+2,63+2,68+2,68+2,68+2,63+2,73+2,77+2,77+2,77+2,73+2,74+2,81+1,81+1,81+1,74+2,17+2
189682,B. Mee,CB,79,79,12000000,39000,31,1989-09-21,180,82,1796,Burnley,English Premier League,1,LCB,6,nan,2012-01-17,2022,14,England,nan,nan,Left,3,2,1,Low/High,62,42,58,63,81,78,59,36,79,60,29,59,45,31,61,63,61,63,63,78,65,60,89,67,80,39,84,81,40,60,42,74,81,81,79,15,7,12,10,14,nan,57+2,57+2,57+2,57,56,56,56,57,57+2,57+2,57+2,59+2,62+2,62+2,62+2,59+2,70+2,72+2,72+2,72+2,70+2,72+2,79,79,79,72+2,19+2
192123,C. Wood,ST,79,79,17500000,48000,29,1991-12-07,191,92,1796,Burnley,English Premier League,1,RS,9,nan,2017-08-21,2023,198,New Zealand,111473,ST,Right,3,2,1,High/Low,64,79,60,70,40,81,46,81,87,68,74,69,69,64,48,77,60,68,55,77,59,81,79,76,86,72,77,40,80,64,81,77,39,30,29,14,16,16,7,16,nan,78+1,78+1,78+1,69,74,74,74,69,70+2,70+2,70+2,68+2,65+2,65+2,65+2,68+2,55+2,56+2,56+2,56+2,55+2,53+2,55+2,55+2,55+2,53+2,20+2
189280,A. Westwood,"CDM, CM",78,78,10000000,36000,31,1990-04-01,175,73,1796,Burnley,English Premier League,1,RCM,18,nan,2017-01-31,2023,14,England,nan,nan,Right,3,3,1,Medium/Medium,58,62,80,74,74,75,82,55,60,80,56,70,83,80,79,77,63,53,74,77,78,76,67,86,68,65,81,76,68,77,64,77,76,76,73,10,13,13,7,8,nan,67+2,67+2,67+2,71,70,70,70,71,72+2,72+2,72+2,73+2,76+2,76+2,76+2,73+2,76+2,77+1,77+1,77+1,76+2,74+2,73+2,73+2,73+2,74+2,17+2
243282,D. McNeil,LM,77,83,17000000,27000,21,1999-11-22,183,70,1796,Burnley,English Premier League,1,LM,11,nan,2018-04-10,2024,14,England,nan,nan,Left,2,3,1,Medium/High,72,68,77,80,53,67,81,66,59,77,57,81,77,75,72,80,74,71,76,75,77,70,68,78,65,71,57,46,73,75,62,77,57,54,44,6,14,14,12,14,nan,71+2,71+2,71+2,76,75,75,75,76,76+2,76+2,76+2,76+2,73+2,73+2,73+2,76+2,67+2,65+2,65+2,65+2,67+2,64+2,58+2,58+2,58+2,64+2,19+2
169706,J. Cork,"CDM, CM",76,76,5000000,31000,32,1989-06-25,184,75,1796,Burnley,English Premier League,1,SUB,4,nan,2017-07-11,2022,14,England,nan,nan,Right,4,3,2,Low/High,44,60,71,69,75,77,69,54,70,78,53,66,74,64,74,76,52,37,61,74,63,73,75,82,75,63,75,77,63,61,60,79,76,76,70,13,11,16,6,6,nan,65+2,65+2,65+2,65,65,65,65,65,67+2,67+2,67+2,67+2,72+2,72+2,72+2,67+2,72+2,75+1,75+1,75+1,72+2,71+2,74+2,74+2,74+2,71+2,17+2
199633,M. Lowton,RB,76,76,5000000,31000,32,1989-06-09,181,78,1796,Burnley,English Premier League,1,RB,2,nan,2015-06-22,2023,14,England,nan,nan,Right,3,2,1,High/High,66,61,73,72,76,74,78,52,71,74,69,72,75,46,73,73,67,65,65,73,68,72,77,78,71,68,76,75,66,70,49,74,76,77,75,11,6,6,13,7,nan,67+2,67+2,67+2,69,69,69,69,69,70+2,70+2,70+2,71+2,72+2,72+2,72+2,71+2,74+2,75+1,75+1,75+1,74+2,74+2,74+2,74+2,74+2,74+2,16+2
204760,C. Taylor,LB,76,77,8000000,31000,27,1993-09-18,185,70,1796,Burnley,English Premier League,1,LB,3,nan,2017-07-06,2024,14,England,nan,nan,Left,2,3,1,High/High,69,54,70,72,75,77,76,49,71,73,43,74,69,61,68,72,65,73,67,73,66,63,76,77,75,59,81,75,59,65,45,73,76,76,76,13,6,14,13,8,nan,64+2,64+2,64+2,68,66,66,66,68,68+2,68+2,68+2,70+2,70+2,70+2,70+2,70+2,74+2,74+2,74+2,74+2,74+2,74+2,75+2,75+2,75+2,74+2,17+2
220659,J. Brownhill,"CM, RM",76,79,10000000,33000,25,1995-12-19,180,69,1796,Burnley,English Premier League,1,LCM,8,nan,2020-01-30,2024,14,England,nan,nan,Right,3,3,1,Medium/High,69,67,72,74,74,76,67,63,67,76,54,73,63,70,73,77,72,67,69,77,71,78,84,89,69,75,74,81,69,73,40,74,72,76,66,8,11,12,7,9,nan,71+2,71+2,71+2,72,72,72,72,72,73+2,73+2,73+2,73+2,76+2,76+2,76+2,73+2,75+2,76+2,76+2,76+2,75+2,74+2,74+2,74+2,74+2,74+2,16+2
186905,A. Barnes,ST,75,75,4800000,35000,31,1989-10-30,186,84,1796,Burnley,English Premier League,1,LS,10,nan,2014-01-10,2022,14,England,nan,nan,Right,4,3,1,High/High,57,75,68,72,47,79,66,76,79,72,76,69,62,56,65,77,59,55,66,76,66,82,83,68,80,65,88,41,77,70,80,78,43,46,39,6,10,11,10,10,nan,75,75,75,70,72,72,72,70,71+2,71+2,71+2,70+2,69+2,69+2,69+2,70+2,58+2,61+2,61+2,61+2,58+2,57+2,59+2,59+2,59+2,57+2,16+2
