sofifa_id,short_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
215914,N. Kanté,"CDM, CM",90,90,100000000,230000,30,1991-03-29,168,70,5,Chelsea,English Premier League,1,RCM,7,nan,2016-07-16,2023,18,France,1335,CDM,Right,3,2,4,Medium/High,78,66,75,82,87,83,68,65,54,82,56,79,49,49,79,81,82,75,82,93,92,71,77,97,72,65,93,91,72,78,54,84,90,93,86,15,12,10,7,10,nan,72+3,72+3,72+3,77,77,77,77,77,78+3,78+3,78+3,79+3,82+3,82+3,82+3,79+3,85+3,87+3,87+3,87+3,85+3,85+3,84+3,84+3,84+3,85+3,20+3
192505,R. Lukaku,ST,88,88,93500000,260000,28,1993-05-13,191,94,5,Chelsea,English Premier League,1,ST,9,nan,2021-08-12,2026,7,Belgium,1325,ST,Left,4,3,4,Medium/Medium,84,87,74,78,39,83,73,92,89,77,78,83,78,66,70,77,81,87,60,91,52,89,76,71,95,74,71,27,89,75,88,86,30,41,30,8,15,14,7,10,nan,87+1,87+1,87+1,81,84,84,84,81,80+3,80+3,80+3,80+3,74+3,74+3,74+3,80+3,61+3,59+3,59+3,59+3,61+3,58+3,57+3,57+3,57+3,58+3,19+3
164240,Thiago Silva,CB,85,85,9500000,105000,36,1984-09-22,183,79,5,Chelsea,English Premier League,1,SUB,6,nan,2020-08-28,2022,54,Brazil,nan,nan,Right,3,2,4,Medium/High,53,54,72,72,86,78,60,40,81,80,61,67,62,61,80,79,52,54,67,82,66,71,88,68,82,65,76,88,59,71,60,86,87,86,84,9,12,5,9,10,nan,65+3,65+3,65+3,65,67,67,67,65,69+3,69+3,69+3,67+3,75+3,75+3,75+3,67+3,76+3,82+3,82+3,82+3,76+3,77+3,83+2,83+2,83+2,77+3,18+3
205498,Jorginho,"CM, CDM",85,85,52500000,170000,29,1991-12-20,180,68,5,Chelsea,English Premier League,1,LCM,5,nan,2018-07-16,2023,27,Italy,1343,CM,Right,3,3,2,Medium/Medium,55,67,86,81,73,73,75,64,56,92,71,79,75,76,89,87,61,50,77,82,72,71,58,87,66,62,79,81,69,88,91,81,67,81,71,14,7,13,14,8,nan,70+2,70+2,70+2,76,76,76,76,76,80+2,80+2,80+2,78+2,84+1,84+1,84+1,78+2,78+2,82+2,82+2,82+2,78+2,76+2,73+2,73+2,73+2,76+2,19+2
208670,H. Ziyech,"RW, CAM",84,84,42500000,170000,28,1993-03-19,181,65,5,Chelsea,English Premier League,1,SUB,22,nan,2020-07-01,2025,129,Morocco,nan,nan,Left,2,5,3,High/High,78,76,87,83,50,65,88,73,52,86,74,83,90,78,89,85,79,77,85,84,78,83,35,79,58,77,73,52,82,89,67,79,44,56,40,11,7,11,8,14,nan,76+3,76+3,76+3,83,82,82,82,83,84,84,84,83+1,82+2,82+2,82+2,83+1,70+3,70+3,70+3,70+3,70+3,66+3,57+3,57+3,57+3,66+3,18+3
212188,T. Werner,"ST, LW",84,87,56500000,155000,25,1996-03-06,180,76,5,Chelsea,English Premier League,1,SUB,11,nan,2020-07-01,2025,21,Germany,1337,ST,Right,4,3,3,High/Medium,91,81,70,82,35,70,69,81,76,79,84,82,70,58,55,84,93,89,82,87,76,85,75,83,65,77,63,37,88,68,78,79,39,20,19,9,9,8,15,9,nan,83+3,83+3,83+3,82,83,83,83,82,80+3,80+3,80+3,80+3,72+3,72+3,72+3,80+3,61+3,57+3,57+3,57+3,61+3,58+3,50+3,50+3,50+3,58+3,19+3
235790,K. Havertz,"CAM, CF, CM",84,92,94500000,130000,22,1999-06-11,188,82,5,Chelsea,English Premier League,1,SUB,29,nan,2020-09-04,2025,21,Germany,1337,CAM,Left,4,4,3,Medium/Medium,82,78,79,84,45,66,72,81,78,84,80,86,84,53,78,85,77,86,78,83,75,74,75,77,69,77,42,38,82,81,73,84,39,46,38,6,8,11,10,12,nan,81+3,81+3,81+3,82,82,82,82,82,83+3,83+3,83+3,82+3,78+3,78+3,78+3,82+3,65+3,63+3,63+3,63+3,65+3,62+3,55+3,55+3,55+3,62+3,17+3
184432,Azpilicueta,"CB, RWB",83,83,25000000,125000,31,1989-08-28,178,77,5,Chelsea,English Premier League,1,RWB,28,nan,2012-08-24,2022,45,Spain,1362,SUB,Right,3,2,3,Medium/Medium,66,55,76,72,84,76,80,46,77,79,51,68,68,58,80,77,69,63,67,86,73,68,83,77,70,60,87,84,62,72,66,78,85,85,84,13,9,10,6,5,nan,66+3,66+3,66+3,70,69,69,69,70,71+3,71+3,71+3,72+3,76+3,76+3,76+3,72+3,80+3,81+2,81+2,81+2,80+3,80+3,82+1,82+1,82+1,80+3,17+3
205452,A. Rüdiger,CB,83,84,34500000,130000,28,1993-03-03,190,85,5,Chelsea,English Premier League,1,LCB,2,nan,2017-07-09,2022,21,Germany,1337,LCB,Right,3,2,2,Medium/High,75,43,68,64,84,84,68,32,81,76,34,60,35,56,73,69,64,84,56,82,50,72,84,69,88,44,92,81,39,59,40,72,85,86,82,14,15,10,12,8,nan,61+2,61+2,61+2,61,61,61,61,61,62+2,62+2,62+2,65+2,68+2,68+2,68+2,65+2,76+2,79+2,79+2,79+2,76+2,78+2,83+1,83+1,83+1,78+2,20+2
207410,M. Kovačić,"CM, CDM",83,84,41500000,135000,27,1994-05-06,176,80,5,Chelsea,English Premier League,1,SUB,8,nan,2019-07-01,2024,10,Croatia,nan,nan,Right,4,4,3,High/High,70,69,83,88,69,70,73,61,42,90,76,89,79,70,82,89,77,65,87,81,84,79,75,79,63,75,77,74,72,84,59,81,70,73,66,9,5,6,7,7,nan,72+3,72+3,72+3,80,79,79,79,80,82+2,82+2,82+2,80+3,83+1,83+1,83+1,80+3,77+3,79+3,79+3,79+3,77+3,74+3,70+3,70+3,70+3,74+3,15+3
