sofifa_id,short_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
198717,W. Zaha,"CF, LM, ST",82,82,31000000,85000,28,1992-11-10,180,66,1799,Crystal Palace,English Premier League,1,RW,11,nan,2015-02-02,2023,108,Côte d'Ivoire,nan,nan,Right,3,5,2,High/Medium,89,77,73,87,34,75,76,78,47,76,67,91,64,51,65,86,88,90,87,76,79,82,58,75,77,72,72,32,76,76,72,80,30,34,32,15,10,15,11,10,nan,77+2,77+2,77+2,82,81,81,81,82,80+2,80+2,80+2,81+1,73+2,73+2,73+2,81+1,62+2,58+2,58+2,58+2,62+2,57+2,49+2,49+2,49+2,57+2,19+2
189690,Guaita,GK,80,80,3600000,48000,34,1987-01-10,190,80,1799,Crystal Palace,English Premier League,1,GK,13,nan,2018-07-01,2023,45,Spain,nan,nan,Right,3,1,2,Medium/Medium,nan,nan,nan,nan,nan,nan,34,11,20,39,13,16,32,20,33,24,51,52,63,74,48,58,68,41,62,15,24,27,13,52,29,62,23,15,17,81,79,77,77,82,51,31+2,31+2,31+2,32,32,32,32,32,34+2,34+2,34+2,34+2,34+2,34+2,34+2,34+2,34+2,33+2,33+2,33+2,34+2,33+2,31+2,31+2,31+2,33+2,79+1
186801,C. Kouyaté,"CB, CDM",78,78,9500000,51000,31,1989-12-21,189,83,1799,Crystal Palace,English Premier League,1,CDM,8,nan,2018-08-01,2022,136,Senegal,nan,nan,Right,3,3,2,High/High,64,64,62,69,78,85,53,63,79,69,50,68,39,47,65,73,61,66,62,79,54,74,77,87,85,63,85,77,69,65,52,72,77,79,76,15,8,9,12,9,nan,70+2,70+2,70+2,67,69,69,69,67,68+2,68+2,68+2,68+2,71+2,71+2,71+2,68+2,73+2,75+2,75+2,75+2,73+2,74+2,78,78,78,74+2,18+2
224221,J. Andersen,CB,77,80,12500000,45000,25,1996-05-31,192,90,1799,Crystal Palace,English Premier League,1,RCB,16,nan,2021-07-28,2026,13,Denmark,1331,SUB,Right,3,2,2,Medium/Medium,58,47,63,59,77,78,36,40,76,78,33,53,49,36,80,67,55,60,48,75,58,73,74,69,83,43,80,76,34,61,44,72,77,78,76,13,7,9,15,14,nan,58+2,58+2,58+2,55,58,58,58,55,60+2,60+2,60+2,58+2,67+2,67+2,67+2,58+2,67+2,76+2,76+2,76+2,67+2,69+2,77+2,77+2,77+2,69+2,19+2
235794,E. Eze,"LM, CAM",77,83,16500000,45000,23,1998-06-29,178,67,1799,Crystal Palace,English Premier League,1,SUB,10,nan,2020-08-28,2025,14,England,nan,nan,Right,3,4,1,Medium/Medium,77,69,73,81,47,68,70,71,49,77,55,83,71,68,68,79,77,77,81,70,80,68,67,77,68,69,58,49,71,76,69,77,36,57,40,10,12,9,14,10,nan,70+2,70+2,70+2,76,75,75,75,76,76+2,76+2,76+2,76+2,73+2,73+2,73+2,76+2,64+2,63+2,63+2,63+2,64+2,61+2,55+2,55+2,55+2,61+2,18+2
206304,L. Milivojević,"CDM, CM",76,76,6500000,44000,30,1991-04-07,186,80,1799,Crystal Palace,English Premier League,1,SUB,4,nan,2017-02-01,2023,51,Serbia,nan,nan,Right,2,2,1,Medium/High,50,67,75,68,75,77,74,55,75,78,50,62,73,82,75,76,51,50,62,75,62,84,59,73,77,77,85,75,66,67,90,76,75,76,68,13,9,16,6,12,nan,68+2,68+2,68+2,66,68,68,68,66,69+2,69+2,69+2,68+2,73+2,73+2,73+2,68+2,71+2,75+1,75+1,75+1,71+2,71+2,75+1,75+1,75+1,71+2,17+2
206516,W. Hughes,"CM, CDM",76,78,9000000,49000,26,1995-04-17,185,74,1799,Crystal Palace,English Premier League,1,SUB,12,nan,2021-08-28,2024,14,England,nan,nan,Left,3,4,1,Medium/Medium,63,64,77,77,68,64,76,68,58,80,50,78,67,62,76,79,67,60,71,78,72,60,49,76,58,62,70,65,73,81,66,79,69,72,69,7,15,12,9,12,nan,69+2,69+2,69+2,74,73,73,73,74,76+2,76+2,76+2,75+2,76+2,76+2,76+2,75+2,73+2,73+2,73+2,73+2,73+2,71+2,67+2,67+2,67+2,71+2,18+2
171972,J. McArthur,"CM, CDM",75,75,3500000,46000,33,1987-10-07,178,66,1799,Crystal Palace,English Premier League,1,RCM,18,nan,2014-09-01,2023,42,Scotland,nan,nan,Right,3,3,1,High/High,53,66,72,74,75,73,66,68,66,77,57,71,58,61,74,77,55,52,69,80,71,65,68,76,66,61,88,77,75,73,64,80,77,76,73,9,9,9,9,9,nan,69+2,69+2,69+2,70,71,71,71,70,72+2,72+2,72+2,71+2,75,75,75,71+2,73+2,Jan-76,Jan-76,Jan-76,73+2,72+2,74+1,74+1,74+1,72+2,17+2
173546,J. Tomkins,CB,75,75,3600000,42000,32,1989-03-29,192,74,1799,Crystal Palace,English Premier League,1,SUB,5,nan,2016-07-05,2022,14,England,nan,nan,Right,3,2,2,Low/Medium,33,32,56,49,77,68,45,29,78,68,28,44,33,31,60,57,34,33,30,76,44,40,75,34,80,29,81,76,38,54,43,70,77,77,78,11,8,6,9,14,nan,49+2,49+2,49+2,46,48,48,48,46,51+2,51+2,51+2,49+2,57+2,57+2,57+2,49+2,61+2,69+2,69+2,69+2,61+2,63+2,75,75,75,63+2,17+2
184111,C. Benteke,ST,75,75,5500000,50000,30,1990-12-03,190,83,1799,Crystal Palace,English Premier League,1,ST,20,nan,2016-08-20,2023,7,Belgium,1325,SUB,Right,2,2,2,Medium/Low,54,76,62,68,32,75,58,76,85,66,76,64,61,64,51,77,51,56,61,76,43,81,87,59,87,70,60,29,77,69,71,71,28,25,18,14,5,12,8,5,nan,75,75,75,68,71,71,71,68,69+2,69+2,69+2,66+2,63+2,63+2,63+2,66+2,49+2,51+2,51+2,51+2,49+2,47+2,49+2,49+2,49+2,47+2,16+2
