sofifa_id,short_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
200458,L. Digne,LB,84,84,40500000,110000,27,1993-07-20,178,74,7,Everton,English Premier League,1,LB,12,nan,2018-08-01,2023,18,France,1335,SUB,Left,2,3,2,High/Medium,79,69,80,80,80,76,88,60,71,81,68,78,83,83,73,84,81,77,74,83,78,83,94,86,69,76,76,82,73,75,60,81,78,83,84,6,12,9,6,13,nan,74+2,74+2,74+2,78,77,77,77,78,77+2,77+2,77+2,79+2,79+2,79+2,79+2,79+2,83+1,80+2,80+2,80+2,83+1,82+2,79+2,79+2,79+2,82+2,17+2
199914,Allan,"CDM, CM",83,83,30500000,100000,30,1991-01-08,175,74,7,Everton,English Premier League,1,LDM,6,nan,2020-09-05,2023,54,Brazil,nan,nan,Right,3,4,2,Medium/High,72,71,77,82,80,79,72,73,56,83,56,81,68,49,80,82,77,68,78,84,86,73,64,92,70,69,89,78,77,77,53,85,82,87,82,13,13,5,5,8,nan,74+2,74+2,74+2,78,78,78,78,78,79+2,79+2,79+2,79+2,81+2,81+2,81+2,79+2,81+2,82+1,82+1,82+1,81+2,80+2,78+2,78+2,78+2,80+2,18+2
204935,J. Pickford,GK,83,85,33000000,83000,27,1994-03-07,185,77,7,Everton,English Premier League,1,GK,1,nan,2017-06-15,2024,14,England,1318,GK,Left,4,1,3,Medium/Medium,nan,nan,nan,nan,nan,nan,17,19,15,55,20,14,18,16,56,40,53,44,55,80,55,65,77,45,70,13,45,24,18,69,45,65,21,20,12,83,78,87,80,86,49,37+3,37+3,37+3,36,39,39,39,36,43+3,43+3,43+3,39+3,45+3,45+3,45+3,39+3,34+3,42+3,42+3,42+3,34+3,33+3,34+3,34+3,34+3,33+3,82+3
231943,Richarlison,"ST, LW, LM",82,87,46500000,100000,24,1997-05-10,181,71,7,Everton,English Premier League,1,LM,7,nan,2018-07-24,2024,54,Brazil,nan,nan,Right,5,4,3,High/Medium,83,78,73,83,53,80,73,80,83,79,75,86,74,65,61,83,85,81,79,82,73,83,86,83,77,70,84,46,83,74,77,81,45,58,48,12,7,8,11,13,nan,82+3,82+3,82+3,81,81,81,81,81,80+3,80+3,80+3,80+3,75+3,75+3,75+3,80+3,68+3,66+3,66+3,66+3,68+3,67+3,64+3,64+3,64+3,67+3,18+3
198710,J. Rodríguez,"RW, CAM, CM",81,81,25500000,105000,29,1991-07-12,180,75,7,Everton,English Premier League,1,SUB,19,nan,2020-09-07,2022,56,Colombia,nan,nan,Left,3,4,4,Medium/Medium,53,86,86,86,50,60,89,84,62,84,90,86,89,86,85,90,55,51,78,83,76,86,46,55,64,91,60,55,80,84,81,87,52,41,44,15,15,15,5,14,nan,79+2,79+2,79+2,81,81,81,81,81,Feb-83,Feb-83,Feb-83,80+1,80+1,80+1,80+1,80+1,65+3,67+3,67+3,67+3,65+3,61+3,57+3,57+3,57+3,61+3,20+3
221479,D. Calvert-Lewin,ST,81,85,37500000,90000,24,1997-03-16,187,71,7,Everton,English Premier League,1,ST,9,nan,2016-08-31,2025,14,England,1318,SUB,Right,3,3,2,High/Medium,83,77,64,77,39,82,65,82,89,72,73,76,64,54,47,80,76,89,72,81,65,79,91,80,83,65,78,35,84,64,77,76,38,31,23,12,12,8,7,11,nan,81+2,81+2,81+2,76,78,78,78,76,74+2,74+2,74+2,75+2,67+2,67+2,67+2,75+2,59+2,56+2,56+2,56+2,59+2,57+2,55+2,55+2,55+2,57+2,18+2
207599,M. Keane,CB,80,81,20000000,84000,28,1993-01-11,191,82,7,Everton,English Premier League,1,LCB,5,nan,2017-07-03,2025,14,England,nan,nan,Right,3,2,2,Low/High,55,49,65,65,82,80,60,50,84,76,40,64,53,33,70,69,52,58,52,77,59,58,85,68,86,46,77,80,29,60,48,72,82,83,79,16,7,8,14,11,nan,60+2,60+2,60+2,59,59,59,59,59,61+2,61+2,61+2,62+2,67+2,67+2,67+2,62+2,72+2,76+2,76+2,76+2,72+2,74+2,80+1,80+1,80+1,74+2,19+2
184484,G. Sigurðsson,"CAM, CM",79,79,14500000,83000,31,1989-09-08,186,77,7,Everton,English Premier League,1,RES,10,nan,2017-08-16,2022,24,Iceland,1341,SUB,Right,4,3,3,Medium/Medium,54,78,82,78,59,66,85,74,60,82,77,78,87,84,78,83,55,53,66,77,61,84,65,77,64,83,57,58,78,80,78,80,57,61,55,13,8,10,15,12,nan,74+3,74+3,74+3,76,76,76,76,76,78+1,78+1,78+1,76+3,78+1,78+1,78+1,76+3,69+3,70+3,70+3,70+3,69+3,66+3,62+3,62+3,62+3,66+3,19+3
208135,A. Doucouré,"CM, CDM",79,79,17500000,87000,28,1993-01-01,184,76,7,Everton,English Premier League,1,RDM,16,nan,2020-09-08,2023,18,France,nan,nan,Right,3,3,2,High/High,70,76,72,76,77,81,68,76,66,79,68,77,41,42,76,80,66,73,65,79,68,84,73,89,80,75,75,80,76,76,54,74,75,80,76,15,12,12,15,14,nan,76+2,76+2,76+2,75,77,77,77,75,77+2,77+2,77+2,76+2,79,79,79,76+2,77+2,79,79,79,77+2,77+2,77+2,77+2,77+2,77+2,21+2
220523,Y. Mina,CB,79,81,19000000,76000,26,1994-09-23,195,94,7,Everton,English Premier League,1,SUB,13,nan,2018-08-09,2023,56,Colombia,nan,nan,Right,3,2,2,Medium/Medium,45,54,60,60,80,81,43,51,86,76,41,62,38,30,69,61,33,54,49,74,32,68,70,66,89,50,80,77,48,56,53,75,79,81,79,10,8,12,9,12,nan,62+2,62+2,62+2,56,59,59,59,56,60+2,60+2,60+2,58+2,66+2,66+2,66+2,58+2,67+2,74+2,74+2,74+2,67+2,69+2,79+2,79+2,79+2,69+2,17+2
