sofifa_id,short_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
233419,Raphinha,"RM, RW",82,87,46000000,89000,24,1996-12-14,176,68,8,Leeds United,English Premier League,1,RM,10,nan,2020-10-06,2024,54,Brazil,nan,nan,Left,4,4,2,High/High,91,76,76,84,49,72,78,74,45,76,72,86,81,75,70,83,90,91,88,82,79,81,74,84,64,76,76,55,81,77,73,78,45,54,38,8,7,13,8,14,nan,76+2,76+2,76+2,82,81,81,81,82,80+2,80+2,80+2,81+2,76+2,76+2,76+2,81+2,69+2,66+2,66+2,66+2,69+2,66+2,58+2,58+2,58+2,66+2,17+2
224081,K. Phillips,"CDM, CM, CB",81,85,32500000,82000,25,1995-12-02,178,72,8,Leeds United,English Premier League,1,CDM,23,nan,2014-07-01,2024,14,England,1318,RCM,Right,3,3,2,Medium/High,67,65,76,75,78,82,70,62,65,80,55,73,62,71,82,79,69,66,72,76,72,75,82,85,78,67,86,77,66,74,58,78,79,82,77,8,8,8,12,14,nan,70+2,70+2,70+2,72,72,72,72,72,74+2,74+2,74+2,74+2,77+2,77+2,77+2,74+2,77+2,80+2,80+2,80+2,77+2,76+2,78+2,78+2,78+2,76+2,18+2
198329,Rodrigo,"CAM, ST, CM",79,79,17000000,83000,30,1991-03-06,182,77,8,Leeds United,English Premier League,1,SUB,19,nan,2020-08-29,2024,45,Spain,nan,nan,Left,3,4,3,High/Medium,86,78,75,79,45,71,77,78,78,79,75,79,83,67,62,81,87,86,79,79,74,82,77,75,69,76,68,33,78,77,77,80,46,43,40,7,13,10,11,5,nan,79,79,79,Jan-80,Jan-80,Jan-80,Jan-80,Jan-80,79,79,79,79,72+3,72+3,72+3,79,64+3,61+3,61+3,61+3,64+3,62+3,57+3,57+3,57+3,62+3,17+3
206534,P. Bamford,ST,78,78,15000000,82000,27,1993-09-05,185,71,8,Leeds United,English Premier League,1,ST,9,nan,2018-07-31,2026,14,England,nan,nan,Left,3,3,2,High/High,73,78,67,73,42,77,59,82,75,72,69,70,68,59,63,78,71,75,69,80,66,80,68,91,76,69,62,47,83,71,74,74,50,27,20,9,7,11,6,16,nan,78,78,78,74,76,76,76,74,74+2,74+2,74+2,74+2,70+2,70+2,70+2,74+2,60+2,60+2,60+2,60+2,60+2,57+2,53+2,53+2,53+2,57+2,17+2
232080,J. Harrison,"LM, RM",78,84,22000000,66000,24,1996-11-20,175,70,8,Leeds United,English Premier League,1,LM,22,nan,2021-07-02,2024,14,England,nan,nan,Left,3,4,1,High/High,83,71,72,79,42,68,76,71,45,73,62,79,70,56,62,78,84,82,82,75,81,75,63,85,65,68,57,36,75,76,64,73,42,43,44,11,8,10,6,11,nan,72+2,72+2,72+2,77,75,75,75,77,75+2,75+2,75+2,77+2,70+2,70+2,70+2,77+2,64+2,59+2,59+2,59+2,64+2,61+2,51+2,51+2,51+2,61+2,16+2
241184,Junior Firpo,"LB, LM",78,82,18500000,59000,24,1996-08-22,184,78,8,Leeds United,English Premier League,1,LB,3,nan,2021-07-06,2025,45,Spain,nan,nan,Left,3,3,2,Medium/Medium,81,64,71,72,75,76,79,66,73,74,55,73,65,43,69,74,82,81,63,75,61,68,75,80,75,59,74,76,76,66,38,74,72,76,76,7,7,7,14,14,nan,72+2,72+2,72+2,73,73,73,73,73,72+2,72+2,72+2,75+2,72+2,72+2,72+2,75+2,76+2,74+2,74+2,74+2,76+2,76+2,75+2,75+2,75+2,76+2,17+2
212602,Diego Llorente,CB,77,79,11000000,65000,27,1993-08-16,186,76,8,Leeds United,English Premier League,1,RCB,14,nan,2020-09-24,2024,45,Spain,nan,nan,Right,3,2,2,Medium/Medium,71,40,62,65,76,78,55,39,78,75,31,56,30,35,72,77,69,72,66,75,62,45,82,71,78,37,85,82,43,51,53,72,73,73,76,8,12,11,9,7,nan,58+2,58+2,58+2,60,59,59,59,60,61+2,61+2,61+2,63+2,66+2,66+2,66+2,63+2,72+2,75+2,75+2,75+2,72+2,73+2,77+2,77+2,77+2,73+2,16+2
232104,D. James,"RM, LM",77,82,16000000,62000,23,1997-11-10,171,76,8,Leeds United,English Premier League,1,SUB,20,nan,2021-08-31,2026,50,Wales,1367,LM,Right,4,3,1,High/High,95,72,70,76,46,63,75,72,44,74,58,73,74,54,58,76,96,95,85,75,83,79,53,83,52,69,70,42,73,68,64,69,54,45,34,7,6,11,15,9,nan,72+2,72+2,72+2,77,75,75,75,77,74+2,74+2,74+2,76+2,69+2,69+2,69+2,76+2,65+2,60+2,60+2,60+2,65+2,62+2,53+2,53+2,53+2,62+2,17+2
236532,R. Koch,"CB, CDM",77,84,19500000,56000,24,1996-07-17,191,83,8,Leeds United,English Premier League,1,SUB,5,nan,2020-08-29,2024,21,Germany,nan,nan,Right,4,2,2,Medium/High,66,38,61,64,78,75,40,27,78,74,29,59,31,28,71,70,54,75,64,75,59,56,66,73,78,42,73,77,52,65,38,74,79,79,76,9,6,15,8,6,nan,58+2,58+2,58+2,58,60,60,60,58,62+2,62+2,62+2,61+2,68+2,68+2,68+2,61+2,70+2,75+2,75+2,75+2,70+2,71+2,77+2,77+2,77+2,71+2,15+2
242656,I. Meslier,GK,77,85,20500000,34000,21,2000-03-02,196,74,8,Leeds United,English Premier League,1,GK,1,nan,2020-07-23,2026,18,France,nan,nan,Left,2,1,1,Medium/Medium,nan,nan,nan,nan,nan,nan,18,11,15,40,9,20,12,10,37,35,35,37,42,72,25,55,42,40,53,17,27,19,8,62,11,67,22,17,19,79,76,73,73,81,36,29+2,29+2,29+2,31,33,33,33,31,36+2,36+2,36+2,33+2,37+2,37+2,37+2,33+2,30+2,34+2,34+2,34+2,30+2,29+2,28+2,28+2,28+2,29+2,76+2
186156,L. Ayling,"RB, CB",76,76,6500000,63000,29,1991-08-25,185,72,8,Leeds United,English Premier League,1,RB,2,nan,2016-08-11,2023,14,England,nan,nan,Right,3,3,2,High/High,66,54,64,72,76,75,69,48,67,71,46,74,41,36,63,72,63,69,68,74,61,65,76,85,74,59,66,75,67,59,38,74,75,80,78,9,11,11,9,8,nan,65+2,65+2,65+2,67,66,66,66,67,67+2,67+2,67+2,69+2,69+2,69+2,69+2,69+2,74+2,73+2,73+2,73+2,74+2,74+2,74+2,74+2,74+2,74+2,16+2
189456,L. Cooper,CB,75,75,4700000,60000,29,1991-08-30,188,73,8,Leeds United,English Premier League,1,LCB,6,nan,2014-08-13,2024,42,Scotland,1359,SUB,Left,2,2,1,Medium/Medium,50,35,56,58,76,78,45,26,74,72,33,53,31,26,64,62,49,51,55,72,61,52,80,72,80,38,78,77,39,47,34,68,75,77,76,10,12,10,9,15,nan,52+2,52+2,52+2,51,52,52,52,51,54+2,54+2,54+2,55+2,61+2,61+2,61+2,55+2,67+2,72+2,72+2,72+2,67+2,68+2,75,75,75,68+2,18+2
192955,M. Klich,CM,75,75,4600000,63000,31,1990-06-13,183,82,8,Leeds United,English Premier League,1,LCM,43,nan,2017-06-23,2024,37,Poland,1353,RCM,Right,3,3,1,Medium/Medium,66,72,74,73,61,75,68,73,49,77,60,73,73,66,74,75,67,66,67,73,73,71,64,87,74,73,63,65,72,76,76,77,61,66,50,11,16,12,11,14,nan,70+2,70+2,70+2,72,73,73,73,72,74+1,74+1,74+1,73+2,75,75,75,73+2,69+2,70+2,70+2,70+2,69+2,66+2,64+2,64+2,64+2,66+2,20+2
203570,S. Dallas,"CM, LB, RB",75,75,5500000,63000,30,1991-04-19,183,81,8,Leeds United,English Premier League,1,RCM,15,nan,2015-08-04,2024,35,Northern Ireland,110081,RM,Right,4,3,1,High/High,74,69,70,73,73,75,66,71,63,76,59,73,57,50,70,74,73,75,73,75,69,68,57,92,73,72,65,73,72,74,57,74,73,76,71,13,7,11,13,7,nan,71+2,71+2,71+2,73,73,73,73,73,74+1,74+1,74+1,74+1,75,75,75,74+1,75,74+1,74+1,74+1,75,74+1,72+2,72+2,72+2,74+1,17+2
239360,P. Struijk,"CB, CDM",74,83,9000000,38000,21,1999-08-11,190,79,8,Leeds United,English Premier League,1,SUB,21,nan,2018-01-30,2024,34,Netherlands,nan,nan,Left,4,2,1,Medium/High,58,35,60,62,75,73,42,23,71,73,34,59,42,32,72,70,56,60,49,69,54,62,73,68,75,30,75,76,33,56,55,71,75,76,72,14,8,8,10,14,nan,53+2,53+2,53+2,53,54,54,54,53,57+2,57+2,57+2,57+2,64+2,64+2,64+2,57+2,67+2,72+2,72+2,72+2,67+2,68+2,74+2,74+2,74+2,68+2,18+2
228815,T. Roberts,"CAM, CM, ST",73,80,6000000,47000,22,1999-01-12,180,75,8,Leeds United,English Premier League,1,SUB,11,nan,2018-01-31,2024,50,Wales,1367,SUB,Right,3,3,1,Medium/Medium,75,69,68,75,38,71,64,70,65,73,59,75,57,42,65,77,75,75,77,67,74,73,56,76,76,65,57,37,72,73,70,76,31,39,27,12,8,13,9,13,nan,71+2,71+2,71+2,72,73,73,73,72,73+2,73+2,73+2,72+2,68+2,68+2,68+2,72+2,57+2,56+2,56+2,56+2,57+2,54+2,50+2,50+2,50+2,54+2,17+2
193910,A. Forshaw,"CM, CDM",71,71,1800000,44000,29,1991-10-08,174,71,8,Leeds United,English Premier League,1,SUB,4,nan,2018-01-18,2022,14,England,nan,nan,Right,3,3,1,Medium/High,65,61,72,72,64,64,64,59,47,77,57,68,68,63,76,75,68,63,76,65,78,66,43,75,59,62,69,64,62,69,62,75,60,73,62,10,7,12,13,16,nan,63+2,63+2,63+2,68,67,67,67,68,69+2,69+2,69+2,69+2,71,71,71,69+2,68+2,70+1,70+1,70+1,68+2,66+2,63+2,63+2,63+2,66+2,17+2
245715,J. Shackleton,"CM, RB",69,79,3100000,23000,21,1999-10-08,168,65,8,Leeds United,English Premier League,1,SUB,46,nan,2017-07-01,2024,14,England,nan,nan,Right,3,3,1,High/Medium,80,46,67,73,62,68,66,47,44,74,31,71,48,38,70,71,81,79,83,70,85,46,60,85,60,44,67,67,63,63,33,72,65,64,59,14,14,11,9,11,nan,59+2,59+2,59+2,68,65,65,65,68,68+2,68+2,68+2,70+2,69+2,69+2,69+2,70+2,70+2,69+2,69+2,69+2,70+2,68+2,63+2,63+2,63+2,68+2,18+2
251954,C. Summerville,"RM, LM",68,80,2900000,15000,19,2001-10-30,174,64,8,Leeds United,English Premier League,1,SUB,38,nan,2020-09-16,2023,34,Netherlands,nan,nan,Right,3,3,1,High/Low,88,61,59,70,24,49,59,63,41,62,51,70,60,61,47,68,89,88,87,63,76,64,37,67,48,58,34,17,62,60,59,57,21,24,26,9,9,15,11,10,nan,63+2,63+2,63+2,68,66,66,66,68,66+2,66+2,66+2,67+2,57+2,57+2,57+2,67+2,50+2,43+2,43+2,43+2,50+2,47+2,35+2,35+2,35+2,47+2,16+2
246053,J. Gelhardt,"ST, CAM",66,82,2200000,13000,19,2002-05-04,175,76,8,Leeds United,English Premier League,1,RES,30,nan,2020-08-10,2024,14,England,nan,nan,Left,3,3,1,High/Medium,73,66,57,69,27,63,46,68,55,66,58,69,53,43,57,69,74,73,71,63,73,67,53,63,68,62,54,19,64,57,63,63,30,23,18,6,13,6,10,12,nan,66+2,66+2,66+2,65,66,66,66,65,65+2,65+2,65+2,64+2,59+2,59+2,59+2,64+2,47+2,47+2,47+2,47+2,47+2,44+2,41+2,41+2,41+2,44+2,16+2
253407,S. Greenwood,"CF, CAM, CM",65,82,1900000,11000,19,2002-01-26,180,75,8,Leeds United,English Premier League,1,SUB,42,nan,2020-08-28,2023,14,England,nan,nan,Right,4,2,1,High/Medium,69,65,58,66,33,56,52,69,56,62,57,65,69,73,46,69,70,69,65,61,58,63,62,65,59,63,38,28,62,60,65,62,37,29,24,10,13,11,11,7,nan,64+2,64+2,64+2,64,65,65,65,64,64+2,64+2,64+2,63+2,58+2,58+2,58+2,63+2,50+2,47+2,47+2,47+2,50+2,47+2,42+2,42+2,42+2,47+2,16+2
237935,K. Klaesson,GK,64,77,1200000,7000,20,2000-11-27,189,76,8,Leeds United,English Premier League,1,SUB,13,nan,2021-07-31,2025,36,Norway,nan,nan,Left,2,1,1,Medium/Medium,nan,nan,nan,nan,nan,nan,11,10,13,36,10,19,12,13,29,28,35,33,52,59,42,47,65,24,57,12,30,11,5,42,17,43,10,14,13,65,59,62,63,69,34,26+2,26+2,26+2,26,27,27,27,26,29+2,29+2,29+2,27+2,29+2,29+2,29+2,27+2,23+2,27+2,27+2,27+2,23+2,22+2,24+2,24+2,24+2,22+2,63+2
