sofifa_id,short_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
208830,J. Vardy,ST,86,86,33000000,180000,34,1987-01-11,179,74,95,Leicester City,English Premier League,1,ST,9,nan,2012-05-01,2023,14,England,nan,nan,Right,4,3,3,High/Medium,85,84,70,80,52,73,69,90,79,74,84,78,68,60,60,82,85,85,76,91,76,87,80,76,66,67,87,49,92,76,85,88,45,52,54,15,14,7,15,11,nan,84+2,84+2,84+2,81,83,83,83,81,80+3,80+3,80+3,80+3,74+3,74+3,74+3,80+3,68+3,65+3,65+3,65+3,68+3,67+3,63+3,63+3,63+3,67+3,22+3
163587,K. Schmeichel,GK,85,85,9000000,115000,34,1986-11-05,189,89,95,Leicester City,English Premier League,1,GK,1,nan,2011-06-01,2023,13,Denmark,1331,GK,Right,3,1,2,Medium/Medium,nan,nan,nan,nan,nan,nan,18,12,16,44,15,12,13,15,46,40,45,51,61,82,47,60,60,34,64,14,35,20,13,59,26,67,14,14,13,84,78,80,83,90,47,33+2,33+2,33+2,33,35,35,35,33,38+2,38+2,38+2,35+2,39+2,39+2,39+2,35+2,31+2,36+2,36+2,36+2,31+2,30+2,29+2,29+2,29+2,30+2,83+2
226790,W. Ndidi,"CDM, CM",85,88,66500000,120000,24,1996-12-16,183,74,95,Leicester City,English Premier League,1,LDM,25,nan,2017-01-05,2024,133,Nigeria,nan,nan,Right,4,3,1,Medium/High,67,62,69,74,87,83,53,50,72,78,68,72,60,60,75,77,65,68,69,88,66,80,90,90,78,70,87,90,67,67,57,80,87,90,85,13,14,7,7,13,nan,70+2,70+2,70+2,69,71,71,71,69,72+2,72+2,72+2,71+2,77+2,77+2,77+2,71+2,79+2,83+2,83+2,83+2,79+2,80+2,84+2,84+2,84+2,80+2,20+2
210243,Ricardo Pereira,"RB, RM",84,84,40500000,130000,27,1993-10-06,175,70,95,Leicester City,English Premier League,1,RB,21,nan,2018-06-09,2023,38,Portugal,nan,nan,Right,4,3,3,High/High,83,67,78,82,80,75,82,66,67,82,59,81,78,52,77,83,82,83,79,83,82,74,75,84,69,64,79,79,77,76,61,81,80,84,83,16,12,15,11,11,nan,75+3,75+3,75+3,79,78,78,78,79,79+3,79+3,79+3,80+3,79+3,79+3,79+3,80+3,82+2,81+3,81+3,81+3,82+2,82+2,79+3,79+3,79+3,82+2,20+3
216393,Y. Tielemans,"CM, CDM",84,87,57000000,125000,24,1997-05-07,176,72,95,Leicester City,English Premier League,1,RDM,8,nan,2019-07-08,2023,7,Belgium,1325,LCM,Right,5,4,2,Medium/Medium,63,79,86,80,71,72,82,74,67,89,78,79,81,78,88,85,67,59,67,83,77,87,66,81,69,86,68,74,80,87,73,86,70,73,69,6,8,10,14,12,nan,77+2,77+2,77+2,79,80,80,80,79,82+2,82+2,82+2,80+2,84+2,84+2,84+2,80+2,77+2,79+2,79+2,79+2,77+2,75+2,72+2,72+2,72+2,75+2,18+2
220697,J. Maddison,"CAM, CM",82,85,41500000,100000,24,1996-11-23,175,73,95,Leicester City,English Premier League,1,CAM,10,nan,2018-06-20,2024,14,England,nan,nan,Right,4,4,1,High/Medium,75,78,84,84,54,60,81,75,35,84,70,84,85,84,82,86,78,72,86,76,83,83,54,74,51,80,68,44,80,87,74,84,59,65,42,11,14,14,12,14,nan,74+2,74+2,74+2,81,80,80,80,81,82+2,82+2,82+2,81+2,80+2,80+2,80+2,81+2,69+2,69+2,69+2,69+2,69+2,65+2,57+2,57+2,57+2,65+2,20+2
234742,H. Barnes,"LM, LW",81,84,35000000,95000,23,1997-12-09,180,66,95,Leicester City,English Premier League,1,LM,7,nan,2016-06-25,2025,14,England,nan,nan,Right,4,3,1,High/Medium,86,77,76,81,45,63,78,78,46,77,66,82,76,69,68,81,85,86,81,82,79,80,59,73,64,79,48,43,81,79,54,75,45,47,44,6,5,11,8,10,nan,76+2,76+2,76+2,81,80,80,80,81,80+2,80+2,80+2,80+2,74+2,74+2,74+2,80+2,66+2,62+2,62+2,62+2,66+2,63+2,53+2,53+2,53+2,63+2,16+2
169588,J. Evans,CB,80,80,10000000,95000,33,1988-01-03,188,77,95,Leicester City,English Premier League,1,SUB,6,nan,2018-06-08,2023,35,Northern Ireland,110081,LCB,Right,4,2,2,Medium/High,52,32,61,60,83,77,52,28,80,74,46,51,34,37,65,71,51,53,45,82,57,42,80,67,80,24,82,81,30,57,44,81,85,83,81,12,16,16,15,8,nan,52+2,52+2,52+2,53,53,53,53,53,56+2,56+2,56+2,57+2,64+2,64+2,64+2,57+2,71+2,76+2,76+2,76+2,71+2,73+2,80,80,80,73+2,21+2
232119,Ç. Söyüncü,CB,80,83,25000000,88000,25,1996-05-23,185,82,95,Leicester City,English Premier League,1,RCB,4,nan,2018-08-09,2023,48,Turkey,nan,nan,Right,4,2,1,Medium/Medium,76,46,60,67,80,80,46,39,75,76,48,65,39,39,64,71,69,81,64,77,57,65,76,70,82,44,89,79,42,55,52,76,78,84,80,6,7,7,7,7,nan,61+2,61+2,61+2,61,62,62,62,61,63+2,63+2,63+2,63+2,66+2,66+2,66+2,63+2,73+2,76+2,76+2,76+2,73+2,74+2,80+2,80+2,80+2,74+2,14+2
222501,T. Castagne,"RB, RM",79,82,21500000,84000,25,1995-12-05,180,80,95,Leicester City,English Premier League,1,SUB,27,nan,2020-09-03,2025,7,Belgium,1325,SUB,Right,3,3,1,High/High,78,57,71,76,75,70,79,59,69,75,40,77,58,33,70,78,77,78,71,78,66,62,72,84,64,52,68,78,77,69,27,68,77,75,72,14,9,15,10,15,nan,69+2,69+2,69+2,74,73,73,73,74,73+2,73+2,73+2,76+2,74+2,74+2,74+2,76+2,77+2,75+2,75+2,75+2,77+2,77+2,73+2,73+2,73+2,77+2,19+2
