sofifa_id,short_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
203376,V. van Dijk,CB,89,89,86000000,230000,29,1991-07-08,193,92,9,Liverpool,English Premier League,1,LCB,4,nan,2018-01-01,2025,34,Netherlands,105035,LCB,Right,3,2,4,Medium/Medium,78,60,71,72,91,84,53,52,87,79,45,70,60,70,86,76,66,88,61,87,53,81,90,69,92,64,83,90,47,65,62,90,92,92,86,13,10,13,11,11,nan,70+3,70+3,70+3,67,69,69,69,67,70+3,70+3,70+3,70+3,75+3,75+3,75+3,70+3,79+3,84+3,84+3,84+3,79+3,81+3,88+1,88+1,88+1,81+3,20+3
208722,S. Mané,LW,89,89,101000000,270000,29,1992-04-10,175,69,9,Liverpool,English Premier League,1,LW,10,nan,2016-07-01,2023,136,Senegal,nan,nan,Right,4,4,4,High/Medium,91,83,80,89,44,77,78,86,84,84,75,90,77,64,71,88,93,90,93,91,88,83,87,85,72,80,75,35,90,84,71,84,42,42,38,10,10,15,7,14,nan,86+3,86+3,86+3,87,88,88,88,87,87+2,87+2,87+2,86+3,80+3,80+3,80+3,86+3,68+3,65+3,65+3,65+3,68+3,65+3,59+3,59+3,59+3,65+3,19+3
209331,M. Salah,RW,89,89,101000000,270000,29,1992-06-15,175,71,9,Liverpool,English Premier League,1,RW,11,nan,2017-07-01,2023,111,Egypt,nan,nan,Left,3,4,4,High/Medium,90,87,81,90,45,75,79,91,59,84,81,90,83,69,75,89,89,91,91,92,91,82,69,85,75,84,63,55,91,83,86,90,38,43,41,14,14,9,11,14,nan,85+3,85+3,85+3,88,88,88,88,88,87+2,87+2,87+2,87+2,82+3,82+3,82+3,87+2,71+3,68+3,68+3,68+3,71+3,67+3,58+3,58+3,58+3,67+3,22+3
212831,Alisson,GK,89,90,82000000,190000,28,1992-10-02,191,91,9,Liverpool,English Premier League,1,GK,1,nan,2018-07-19,2027,54,Brazil,nan,nan,Right,3,1,3,Medium/Medium,nan,nan,nan,nan,nan,nan,17,13,29,45,20,27,19,18,44,30,56,47,40,87,37,63,52,32,78,14,27,11,13,66,23,65,15,19,16,86,86,84,90,89,52,37+3,37+3,37+3,35,38,38,38,35,40+3,40+3,40+3,38+3,40+3,40+3,40+3,38+3,31+3,35+3,35+3,35+3,31+3,30+3,31+3,31+3,31+3,30+3,87+3
216267,A. Robertson,LB,87,88,83500000,175000,27,1994-03-11,178,64,9,Liverpool,English Premier League,1,LB,26,nan,2017-07-21,2026,42,Scotland,1359,LWB,Left,2,3,3,High/High,84,61,81,81,82,76,88,55,67,82,32,81,82,71,76,83,83,85,78,85,74,76,62,95,65,65,85,83,77,80,55,83,83,84,81,11,8,10,7,14,nan,72+3,72+3,72+3,79,77,77,77,79,79+3,79+3,79+3,81+3,81+3,81+3,81+3,81+3,85+3,82+3,82+3,82+3,85+3,84+3,79+3,79+3,79+3,84+3,18+3
231281,T. Alexander-Arnold,RB,87,92,114000000,150000,22,1998-10-07,180,69,9,Liverpool,English Premier League,1,RB,66,nan,2015-10-07,2025,14,England,1318,SUB,Right,4,3,3,High/Medium,79,68,88,80,80,72,92,60,69,86,62,78,87,85,90,86,77,80,73,82,73,82,66,88,63,75,74,82,77,87,55,81,80,83,79,14,15,14,6,7,nan,75+3,75+3,75+3,80,79,79,79,80,81+3,81+3,81+3,82+3,84+3,84+3,84+3,82+3,84+3,83+3,83+3,83+3,84+3,83+3,78+3,78+3,78+3,83+3,19+3
189509,Thiago,"CM, CDM",86,86,65000000,180000,30,1991-04-11,174,70,9,Liverpool,English Premier League,1,LCM,6,nan,2020-09-18,2024,45,Spain,1362,SUB,Right,3,5,3,Medium/Medium,63,72,86,90,70,66,78,68,54,90,82,90,85,77,89,92,72,55,91,84,90,75,80,74,59,73,72,82,75,85,75,88,67,71,68,6,11,7,9,13,nan,74+3,74+3,74+3,81,80,80,80,81,84+2,84+2,84+2,82+3,85+1,85+1,85+1,82+3,77+3,80+3,80+3,80+3,77+3,75+3,71+3,71+3,71+3,75+3,18+3
209499,Fabinho,"CDM, CB",86,88,73500000,165000,27,1993-10-23,188,78,9,Liverpool,English Premier League,1,CDM,3,nan,2018-07-01,2026,54,Brazil,nan,nan,Right,2,3,3,Medium/High,67,69,78,78,85,83,75,63,75,84,47,78,71,53,82,81,65,68,64,86,64,81,75,88,81,70,85,87,70,75,90,84,86,87,85,13,12,6,8,8,nan,74+3,74+3,74+3,75,75,75,75,75,76+3,76+3,76+3,77+3,81+3,81+3,81+3,77+3,82+3,84+3,84+3,84+3,82+3,82+3,84+3,84+3,84+3,82+3,18+3
201942,Roberto Firmino,CF,85,85,54000000,185000,29,1991-10-02,181,76,9,Liverpool,English Premier League,1,CF,9,nan,2015-07-06,2023,54,Brazil,nan,nan,Right,4,5,3,High/High,77,78,79,89,59,78,73,78,78,84,83,89,81,65,76,90,77,77,85,86,86,79,81,87,74,76,75,58,82,83,72,88,55,64,42,8,11,9,6,10,nan,81+3,81+3,81+3,83,83,83,83,83,84+1,84+1,84+1,83+2,82+3,82+3,82+3,83+2,72+3,72+3,72+3,72+3,72+3,69+3,67+3,67+3,67+3,69+3,17+3
183711,J. Henderson,"CDM, CM",84,84,29500000,140000,31,1990-06-17,182,80,9,Liverpool,English Premier League,1,RCM,14,nan,2011-06-09,2025,14,England,1318,SUB,Right,3,3,3,High/High,66,74,83,79,78,81,82,73,65,85,71,78,80,74,87,83,67,66,69,85,68,77,78,86,78,75,83,81,78,80,64,82,79,81,76,7,13,7,9,13,nan,76+3,76+3,76+3,78,78,78,78,78,79+3,79+3,79+3,80+3,82+2,82+2,82+2,80+3,80+3,82+2,82+2,82+2,80+3,79+3,79+3,79+3,79+3,79+3,19+3
197061,J. Matip,CB,83,83,30500000,130000,29,1991-08-08,194,90,9,Liverpool,English Premier League,1,RCB,32,nan,2016-07-01,2024,103,Cameroon,nan,nan,Right,2,2,2,Medium/Medium,58,46,68,68,85,78,54,36,84,77,50,69,63,22,74,72,50,65,51,84,42,66,75,69,81,48,84,86,48,72,42,80,86,86,81,11,15,10,7,10,nan,62+2,62+2,62+2,62,64,64,64,62,66+2,66+2,66+2,65+2,72+2,72+2,72+2,65+2,74+2,80+2,80+2,80+2,74+2,76+2,83,83,83,76+2,19+2
224458,Diogo Jota,"LW, ST",82,87,46000000,120000,24,1996-12-04,178,73,9,Liverpool,English Premier League,1,SUB,20,nan,2020-09-19,2025,38,Portugal,1354,LW,Right,5,4,2,High/High,84,81,73,85,57,77,71,84,77,75,78,85,77,58,71,85,88,81,87,84,86,84,76,81,71,75,85,56,85,75,63,83,54,57,45,7,12,15,9,11,nan,82+2,82+2,82+2,82,82,82,82,82,81+2,81+2,81+2,81+2,77+2,77+2,77+2,81+2,69+2,69+2,69+2,69+2,69+2,68+2,65+2,65+2,65+2,68+2,18+2
225100,J. Gomez,CB,82,88,43500000,100000,24,1997-05-23,188,77,9,Liverpool,English Premier League,1,SUB,12,nan,2015-06-20,2024,14,England,nan,nan,Right,3,3,2,Medium/Medium,81,30,66,69,83,78,69,26,74,78,24,67,41,29,65,73,75,85,63,82,65,41,76,67,83,26,81,84,51,60,26,74,83,84,82,8,13,14,7,7,nan,58+2,58+2,58+2,64,62,62,62,64,64+2,64+2,64+2,68+2,68+2,68+2,68+2,68+2,78+2,78+2,78+2,78+2,78+2,79+2,81+2,81+2,81+2,79+2,17+2
220971,N. Keïta,CM,80,83,27500000,110000,26,1995-02-10,172,64,9,Liverpool,English Premier League,1,SUB,8,nan,2018-07-01,2023,118,Guinea,nan,nan,Right,4,4,2,Medium/Medium,70,73,75,85,65,66,62,74,42,83,71,85,64,70,75,86,77,65,88,80,90,76,52,73,59,73,78,76,74,80,58,81,68,64,62,7,14,15,14,9,nan,73+2,73+2,73+2,78,78,78,78,78,80+2,80+2,80+2,78+2,79+2,79+2,79+2,78+2,73+2,75+2,75+2,75+2,73+2,70+2,66+2,66+2,66+2,70+2,19+2
138412,J. Milner,"CM, LB, RB",79,79,7000000,76000,35,1986-01-04,175,70,9,Liverpool,English Premier League,1,SUB,7,nan,2015-07-01,2022,14,England,nan,nan,Right,4,3,2,Medium/High,56,70,81,77,77,75,85,62,65,82,76,76,81,75,80,81,60,52,68,84,72,82,62,77,70,70,86,78,71,77,89,84,77,80,78,12,9,10,8,6,nan,71+2,71+2,71+2,74,74,74,74,74,75+2,75+2,75+2,75+2,79,79,79,75+2,78+1,Jan-80,Jan-80,Jan-80,78+1,76+2,76+2,76+2,76+2,76+2,17+2
198784,A. Oxlade-Chamberlain,CM,79,79,18500000,100000,27,1993-08-15,175,70,9,Liverpool,English Premier League,1,SUB,15,nan,2017-08-31,2023,14,England,nan,nan,Right,4,4,2,High/High,81,74,77,82,67,74,78,70,39,80,60,83,73,60,75,83,82,81,79,78,87,83,69,80,70,78,77,73,79,79,69,77,68,72,68,16,9,6,9,9,nan,74+2,74+2,74+2,Jan-80,79,79,79,Jan-80,Jan-80,Jan-80,Jan-80,Jan-80,79,79,79,Jan-80,76+2,75+2,75+2,75+2,76+2,74+2,69+2,69+2,69+2,74+2,18+2
