sofifa_id,short_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
192985,K. De Bruyne,"CM, CAM",91,91,125500000,350000,30,1991-06-28,181,70,10,Manchester City,English Premier League,1,RCM,17,nan,2015-08-30,2025,7,Belgium,1325,RCM,Right,5,4,4,High/High,76,86,93,88,64,78,94,82,55,94,82,88,85,83,93,91,76,76,79,91,78,91,63,89,74,91,76,66,88,94,83,89,68,65,53,15,13,5,10,13,nan,83+3,83+3,83+3,88,87,87,87,88,89+2,89+2,89+2,89+2,89+2,89+2,89+2,89+2,79+3,80+3,80+3,80+3,79+3,75+3,69+3,69+3,69+3,75+3,21+3
210257,Ederson,GK,89,91,94000000,200000,27,1993-08-17,188,86,10,Manchester City,English Premier League,1,GK,31,nan,2017-07-01,2026,54,Brazil,nan,nan,Left,3,1,3,Medium/Medium,nan,nan,nan,nan,nan,nan,20,14,14,61,18,23,15,20,66,40,64,63,60,88,48,70,66,41,78,18,38,27,20,70,51,70,29,15,8,87,82,93,88,88,64,40+3,40+3,40+3,41,43,43,43,41,47+3,47+3,47+3,44+3,49+3,49+3,49+3,44+3,37+3,44+3,44+3,44+3,37+3,36+3,35+3,35+3,35+3,36+3,87+3
202652,R. Sterling,"LW, RW",88,89,107500000,290000,26,1994-12-08,170,69,10,Manchester City,English Premier League,1,SUB,7,nan,2015-07-14,2023,14,England,1318,LW,Right,3,4,4,High/Medium,91,82,79,87,45,66,79,85,46,83,67,87,79,72,69,86,95,88,94,90,93,78,57,79,64,83,59,30,91,82,67,78,47,53,47,15,12,12,15,9,nan,81+3,81+3,81+3,87,86,86,86,87,86+3,86+3,86+3,85+3,78+3,78+3,78+3,85+3,69+3,64+3,64+3,64+3,69+3,65+3,55+3,55+3,55+3,65+3,21+3
239818,Rúben Dias,CB,87,91,102500000,170000,24,1997-05-14,187,82,10,Manchester City,English Premier League,1,RCB,3,nan,2020-09-29,2027,38,Portugal,1354,LCB,Right,4,2,3,Medium/High,61,38,65,68,88,88,54,29,87,81,32,64,46,48,74,74,57,65,59,87,56,74,78,88,88,22,92,85,39,51,45,81,90,89,85,7,8,13,7,12,nan,61+3,61+3,61+3,59,60,60,60,59,61+3,61+3,61+3,64+3,70+3,70+3,70+3,64+3,78+3,83+3,83+3,83+3,78+3,80+3,86+3,86+3,86+3,80+3,17+3
204485,R. Mahrez,"RW, RM",86,86,65500000,220000,30,1991-02-21,179,67,10,Manchester City,English Premier League,1,RW,26,nan,2018-07-10,2023,97,Algeria,nan,nan,Left,4,5,3,Medium/Medium,81,79,81,90,38,60,81,81,48,83,76,91,85,78,75,91,84,79,92,81,88,79,56,75,57,79,48,39,80,84,70,84,45,31,22,15,9,13,11,6,nan,78+3,78+3,78+3,85,83,83,83,85,85+1,85+1,85+1,84+2,78+3,78+3,78+3,84+2,64+3,61+3,61+3,61+3,64+3,58+3,48+3,48+3,48+3,58+3,18+3
210514,João Cancelo,"RB, LB",86,87,71500000,185000,27,1994-05-27,182,74,10,Manchester City,English Premier League,1,LB,27,nan,2019-08-07,2025,38,Portugal,1354,RB,Right,4,4,3,High/Medium,85,71,83,84,80,72,86,68,72,85,62,85,84,69,78,85,86,84,80,85,78,80,72,90,62,75,73,80,80,83,46,85,79,82,80,6,9,15,14,14,nan,78+3,78+3,78+3,82,81,81,81,82,82+3,82+3,82+3,83+3,83+3,83+3,83+3,83+3,84+3,81+3,81+3,81+3,84+3,83+3,78+3,78+3,78+3,83+3,19+3
212218,A. Laporte,CB,86,89,77000000,185000,27,1994-05-27,191,85,10,Manchester City,English Premier League,1,LCB,14,nan,2018-01-30,2024,45,Spain,1362,LCB,Left,3,2,3,Medium/Medium,63,50,72,69,86,80,58,45,84,82,40,63,61,69,80,78,59,67,57,87,60,68,80,72,84,47,81,87,54,65,44,84,86,87,86,10,11,5,14,5,nan,66+3,66+3,66+3,65,66,66,66,65,68+3,68+3,68+3,68+3,74+3,74+3,74+3,68+3,77+3,82+3,82+3,82+3,77+3,79+3,85+3,85+3,85+3,79+3,18+3
218667,Bernardo Silva,"CAM, CM, RW",86,87,80000000,200000,26,1994-08-10,173,64,10,Manchester City,English Premier League,1,SUB,20,nan,2017-07-01,2025,38,Portugal,1354,RCM,Left,3,4,2,High/High,80,76,83,91,54,67,85,77,51,86,70,92,84,67,76,90,83,77,94,84,92,76,51,93,54,76,70,54,83,84,68,87,49,63,45,9,10,14,12,9,nan,77+2,77+2,77+2,85,84,84,84,85,85+2,85+2,85+2,85+2,82+2,82+2,82+2,85+2,74+2,71+2,71+2,71+2,74+2,69+2,60+2,60+2,60+2,69+2,18+2
231866,Rodri,CDM,86,89,81000000,175000,25,1996-06-22,191,82,10,Manchester City,English Premier League,1,CDM,16,nan,2019-07-04,2024,45,Spain,1362,SUB,Right,4,3,3,Medium/High,61,70,77,78,82,82,63,64,78,85,59,78,65,54,83,82,60,62,65,80,65,83,72,87,82,76,76,83,75,81,46,83,83,84,78,10,10,7,14,8,nan,75+3,75+3,75+3,74,76,76,76,74,78+3,78+3,78+3,76+3,82+3,82+3,82+3,76+3,78+3,83+3,83+3,83+3,78+3,78+3,81+3,81+3,81+3,78+3,18+3
186942,İ. Gündoğan,"CM, CDM",85,85,51500000,185000,30,1990-10-24,180,80,10,Manchester City,English Premier League,1,LCM,8,nan,2016-07-01,2023,21,Germany,1337,SUB,Right,4,4,3,High/Medium,65,80,85,86,73,72,78,80,50,88,75,86,86,80,85,89,66,65,77,86,77,79,61,74,73,81,70,78,82,86,80,87,76,75,67,11,14,5,5,13,nan,78+3,78+3,78+3,82,82,82,82,82,84+1,84+1,84+1,82+3,84+1,84+1,84+1,82+3,78+3,80+3,80+3,80+3,78+3,75+3,73+3,73+3,73+3,75+3,19+3
188377,K. Walker,RB,85,85,39000000,170000,31,1990-05-28,183,83,10,Manchester City,English Premier League,1,RB,2,nan,2017-07-14,2024,14,England,1318,RB,Right,2,3,3,High/High,92,63,76,78,80,82,77,51,74,79,57,79,76,71,77,81,89,94,66,85,69,86,83,86,80,69,84,80,68,69,63,75,77,84,83,12,6,16,15,8,nan,74+3,74+3,74+3,76,76,76,76,76,75+3,75+3,75+3,78+3,77+3,77+3,77+3,78+3,82+3,80+3,80+3,80+3,82+3,82+3,81+3,81+3,81+3,82+3,19+3
206517,J. Grealish,"LW, LM, CAM",84,85,50500000,180000,25,1995-09-10,180,81,10,Manchester City,English Premier League,1,LW,10,nan,2021-08-05,2027,14,England,1318,SUB,Right,3,4,3,High/Medium,80,76,83,88,46,64,81,77,36,85,72,89,78,74,82,88,81,79,85,79,84,76,36,80,61,80,60,44,81,85,58,88,48,49,43,11,6,11,10,13,nan,75+3,75+3,75+3,83,82,82,82,83,84+1,84+1,84+1,83+2,80+3,80+3,80+3,83+2,68+3,67+3,67+3,67+3,68+3,64+3,53+3,53+3,53+3,64+3,18+3
