sofifa_id,short_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
20801,Cristiano Ronaldo,"ST, LW",91,91,45000000,270000,36,1985-02-05,187,83,11,Manchester United,English Premier League,1,ST,7,nan,2021-08-27,2023,38,Portugal,1354,ST,Right,4,5,5,High/Low,87,94,80,88,34,75,87,95,90,80,86,88,81,84,77,88,85,88,86,94,74,94,95,77,77,93,63,29,95,76,88,95,24,32,24,7,11,15,14,11,nan,90+1,90+1,90+1,88,89,89,89,88,86+3,86+3,86+3,86+3,78+3,78+3,78+3,86+3,63+3,59+3,59+3,59+3,63+3,60+3,53+3,53+3,53+3,60+3,20+3
212198,Bruno Fernandes,CAM,88,89,107500000,250000,26,1994-09-08,179,69,11,Manchester United,English Premier League,1,CAM,18,nan,2020-01-30,2025,38,Portugal,1354,LCM,Right,3,4,3,High/High,75,86,89,84,70,77,87,83,64,91,87,83,87,87,88,87,77,73,80,91,79,89,73,91,70,89,78,66,87,90,91,87,72,73,65,12,14,15,8,14,nan,83+3,83+3,83+3,85,85,85,85,85,87+2,87+2,87+2,86+3,87+2,87+2,87+2,86+3,80+3,80+3,80+3,80+3,80+3,77+3,73+3,73+3,73+3,77+3,21+3
195864,P. Pogba,"CM, LM",87,87,79500000,220000,28,1993-03-15,191,84,11,Manchester United,English Premier League,1,RDM,6,nan,2016-08-09,2022,18,France,1335,RCM,Right,4,5,4,High/Medium,71,81,86,86,65,83,77,75,74,88,84,88,85,82,92,90,63,77,73,83,67,90,82,77,89,84,78,65,80,89,81,88,59,67,63,5,6,2,4,3,nan,82+3,82+3,82+3,82,83,83,83,82,85+2,85+2,85+2,83+3,85+2,85+2,85+2,83+3,74+3,78+3,78+3,78+3,74+3,72+3,72+3,72+3,72+3,72+3,13+3
233049,J. Sancho,"RM, CF, LM",87,91,116500000,150000,21,2000-03-25,180,76,11,Manchester United,English Premier League,1,LM,25,nan,2021-07-23,2026,14,England,1318,SUB,Right,3,5,3,High/Medium,81,76,82,91,36,65,82,83,38,87,83,92,84,65,70,90,85,78,91,85,90,73,51,77,68,65,44,39,83,87,62,86,32,39,32,7,11,10,11,13,nan,78+3,78+3,78+3,85,84,84,84,85,85+3,85+3,85+3,85+3,79+3,79+3,79+3,85+3,66+3,62+3,62+3,62+3,66+3,60+3,48+3,48+3,48+3,60+3,19+3
201535,R. Varane,CB,86,88,68500000,180000,28,1993-04-25,191,81,11,Manchester United,English Premier League,1,RCB,19,nan,2021-07-27,2025,18,France,1335,RCB,Right,3,2,3,Medium/High,82,49,64,65,87,82,42,46,86,78,42,55,46,52,76,78,79,85,62,84,39,52,81,76,86,53,80,85,55,59,43,83,86,88,87,11,11,9,5,14,nan,66+3,66+3,66+3,64,66,66,66,64,67+3,67+3,67+3,67+3,72+3,72+3,72+3,67+3,77+3,81+3,81+3,81+3,77+3,80+3,85+3,85+3,85+3,80+3,18+3
179813,E. Cavani,ST,85,85,26000000,190000,34,1987-02-14,185,77,11,Manchester United,English Premier League,1,SUB,21,nan,2020-10-05,2022,60,Uruguay,nan,nan,Right,4,3,4,High/High,66,86,70,76,51,79,68,89,88,75,86,74,76,74,52,81,64,68,68,90,57,87,88,81,77,77,81,54,93,75,85,85,45,48,39,12,5,13,13,10,nan,84+1,84+1,84+1,78,81,81,81,78,78+3,78+3,78+3,76+3,73+3,73+3,73+3,76+3,65+3,64+3,64+3,64+3,65+3,63+3,63+3,63+3,63+3,63+3,19+3
231677,M. Rashford,"LM, ST",85,89,77500000,150000,23,1997-10-31,186,70,11,Manchester United,English Premier League,1,SUB,10,nan,2014-07-01,2023,14,England,1318,SUB,Right,3,5,3,High/Medium,90,84,79,84,43,77,80,83,68,80,73,86,83,76,71,84,86,93,84,84,75,92,74,86,75,81,73,42,83,81,84,80,45,38,33,11,6,15,7,14,nan,83+3,83+3,83+3,84,84,84,84,84,83+3,83+3,83+3,83+3,77+3,77+3,77+3,83+3,67+3,64+3,64+3,64+3,67+3,63+3,57+3,57+3,57+3,63+3,18+3
193080,De Gea,GK,84,84,28000000,120000,30,1990-11-07,192,82,11,Manchester United,English Premier League,1,GK,1,nan,2011-07-01,2023,45,Spain,1362,SUB,Right,3,1,4,Medium/Medium,nan,nan,nan,nan,nan,nan,17,13,21,48,13,18,21,19,43,38,57,58,63,83,43,57,67,43,55,12,38,30,12,61,29,63,25,21,13,86,79,76,79,87,57,34+3,34+3,34+3,36,37,37,37,36,40+3,40+3,40+3,38+3,41+3,41+3,41+3,38+3,36+3,39+3,39+3,39+3,36+3,35+3,34+3,34+3,34+3,35+3,82+2
203263,H. Maguire,CB,84,86,42500000,155000,28,1993-03-05,194,100,11,Manchester United,English Premier League,1,LCB,5,nan,2019-08-05,2024,14,England,1318,LCB,Right,3,2,3,High/High,50,55,69,70,85,87,51,48,87,78,47,71,48,46,84,76,47,53,50,84,41,75,85,82,90,52,84,86,61,70,44,85,87,83,78,14,16,9,14,9,nan,67+3,67+3,67+3,64,67,67,67,64,69+3,69+3,69+3,68+3,76+3,76+3,76+3,68+3,74+3,82+3,82+3,82+3,74+3,76+3,84+2,84+2,84+2,76+3,21+3
205988,L. Shaw,LB,84,86,48500000,140000,25,1995-07-12,181,75,11,Manchester United,English Premier League,1,LB,23,nan,2014-06-27,2023,14,England,1318,LB,Left,2,3,2,High/Medium,79,54,79,80,81,80,85,44,78,82,56,80,83,54,69,82,76,81,75,82,77,70,83,80,79,54,84,79,78,81,44,83,83,83,79,10,12,13,7,7,nan,71+2,71+2,71+2,76,75,75,75,76,76+2,76+2,76+2,78+2,78+2,78+2,78+2,78+2,81+2,80+2,80+2,80+2,81+2,81+2,81+2,81+2,81+2,81+2,17+2
