sofifa_id,short_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
220407,M. Dúbravka,GK,81,81,13000000,40000,32,1989-01-15,190,80,13,Newcastle United,English Premier League,1,SUB,1,nan,2018-06-09,2025,43,Slovakia,nan,nan,Right,2,1,2,Medium/Medium,nan,nan,nan,nan,nan,nan,12,10,12,48,11,19,15,13,45,35,48,44,47,75,60,60,74,38,60,17,28,25,12,55,20,59,19,15,14,79,78,80,79,82,46,32+2,32+2,32+2,32,35,35,35,32,37+2,37+2,37+2,35+2,39+2,39+2,39+2,35+2,31+2,36+2,36+2,36+2,31+2,30+2,30+2,30+2,30+2,30+2,79+2
196978,C. Wilson,ST,79,79,17500000,53000,29,1992-02-27,180,66,13,Newcastle United,English Premier League,1,RS,9,nan,2020-09-07,2024,14,England,nan,nan,Right,3,4,2,High/Medium,80,78,66,78,41,77,61,82,78,72,71,78,63,45,62,79,77,83,75,79,72,77,70,76,79,68,74,40,83,70,83,79,36,40,27,10,15,8,10,6,nan,79,79,79,76,78,78,78,76,76+2,76+2,76+2,75+2,70+2,70+2,70+2,75+2,59+2,59+2,59+2,59+2,59+2,57+2,55+2,55+2,55+2,57+2,18+2
216388,A. Saint-Maximin,"LM, ST",79,84,26500000,41000,24,1997-03-12,173,67,13,Newcastle United,English Premier League,1,LS,10,nan,2019-08-02,2026,18,France,nan,nan,Right,4,5,2,High/Low,91,69,70,87,25,61,70,65,53,74,59,91,73,58,64,83,93,90,93,74,87,80,73,74,63,70,36,17,72,71,58,80,28,18,23,10,9,12,7,7,nan,73+2,73+2,73+2,79,78,78,78,79,78+2,78+2,78+2,78+2,69+2,69+2,69+2,78+2,56+2,50+2,50+2,50+2,56+2,52+2,40+2,40+2,40+2,52+2,16+2
203487,J. Lascelles,CB,77,80,12000000,37000,27,1993-11-11,188,83,13,Newcastle United,English Premier League,1,CB,6,nan,2014-08-04,2024,14,England,nan,nan,Right,3,2,2,Low/Medium,58,35,51,56,77,79,46,34,78,64,33,47,37,16,59,64,54,62,60,74,51,51,83,69,83,27,82,76,23,40,19,73,78,77,76,10,15,7,10,15,nan,52+2,52+2,52+2,50,50,50,50,50,51+2,51+2,51+2,53+2,57+2,57+2,57+2,53+2,67+2,70+2,70+2,70+2,67+2,69+2,77+2,77+2,77+2,69+2,19+2
230977,M. Almirón,"CAM, CM, RM",77,78,12000000,40000,27,1994-02-10,174,70,13,Newcastle United,English Premier League,1,LCM,24,nan,2019-01-31,2024,58,Paraguay,nan,nan,Left,2,4,1,Medium/High,86,72,74,79,53,63,71,71,43,77,75,82,74,68,68,77,88,85,86,78,64,78,48,81,53,65,69,54,75,76,69,74,53,55,50,6,9,13,13,12,nan,72+2,72+2,72+2,78,77,77,77,78,77+1,77+1,77+1,78,73+2,73+2,73+2,78,69+2,66+2,66+2,66+2,69+2,66+2,57+2,57+2,57+2,66+2,18+2
193331,K. Darlow,GK,76,77,5500000,28000,30,1990-10-08,190,88,13,Newcastle United,English Premier League,1,SUB,26,nan,2014-08-04,2025,14,England,nan,nan,Right,2,1,1,Medium/Medium,nan,nan,nan,nan,nan,nan,12,14,12,36,15,14,19,16,30,31,60,54,64,68,64,51,69,44,60,11,13,26,18,37,19,53,17,11,12,77,73,68,75,78,58,31+2,31+2,31+2,31,32,32,32,31,32+2,32+2,32+2,32+2,32+2,32+2,32+2,32+2,30+2,30+2,30+2,30+2,30+2,29+2,27+2,27+2,27+2,29+2,75+2
206115,I. Hayden,"CDM, CM, CB",76,79,9000000,34000,26,1995-03-22,185,79,13,Newcastle United,English Premier League,1,CM,14,nan,2016-07-11,2026,14,England,nan,nan,Right,4,2,1,Low/High,58,60,63,70,75,78,43,53,67,74,35,71,45,38,69,74,55,60,54,77,60,75,71,78,77,66,82,75,69,72,49,72,77,76,75,9,15,8,8,12,nan,67+2,67+2,67+2,65,69,69,69,65,69+2,69+2,69+2,67+2,72+2,72+2,72+2,67+2,70+2,75+2,75+2,75+2,70+2,70+2,75+2,75+2,75+2,70+2,18+2
210047,F. Schär,CB,76,77,7000000,36000,29,1991-12-20,188,84,13,Newcastle United,English Premier League,1,RCB,5,nan,2018-07-26,2022,47,Switzerland,nan,nan,Right,3,2,2,High/Medium,58,67,70,68,77,75,65,60,81,72,61,66,66,66,73,71,57,59,64,74,61,77,77,71,78,73,73,79,62,69,75,74,74,78,76,8,9,11,10,15,nan,68+2,68+2,68+2,66,67,67,67,66,68+2,68+2,68+2,67+2,71+2,71+2,71+2,67+2,71+2,74+2,74+2,74+2,71+2,72+2,76+1,76+1,76+1,72+2,18+2
183129,C. Clark,CB,75,75,3800000,33000,31,1989-09-26,185,88,13,Newcastle United,English Premier League,1,SUB,2,nan,2016-08-03,2023,25,Republic of Ireland,1355,SUB,Left,2,2,2,Low/Medium,51,51,53,55,77,73,39,44,80,61,51,50,50,36,60,59,50,51,54,71,50,71,78,61,76,48,80,75,49,51,55,68,77,78,77,14,7,12,14,12,nan,58+2,58+2,58+2,52,55,55,55,52,55+2,55+2,55+2,53+2,59+2,59+2,59+2,53+2,63+2,69+2,69+2,69+2,63+2,66+2,75,75,75,66+2,18+2
189165,J. Shelvey,"CM, CDM",75,75,5500000,37000,29,1992-02-27,184,80,13,Newcastle United,English Premier League,1,SUB,8,nan,2016-01-12,2023,14,England,nan,nan,Right,3,3,2,Low/Low,49,72,78,72,61,72,73,64,67,81,66,73,69,73,82,77,48,49,55,70,63,85,62,70,71,79,80,61,70,80,71,78,59,62,60,14,11,15,8,16,nan,70+2,70+2,70+2,70,72,72,72,70,73+2,73+2,73+2,71+2,75,75,75,71+2,66+2,71+2,71+2,71+2,66+2,65+2,66+2,66+2,66+2,65+2,19+2
