sofifa_id,short_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
170597,T. Krul,GK,77,77,3400000,27000,33,1988-04-03,188,74,1792,Norwich City,English Premier League,1,GK,1,nan,2018-07-24,2024,34,Netherlands,105035,SUB,Left,2,1,2,Medium/Medium,nan,nan,nan,nan,nan,nan,13,11,19,32,16,13,13,15,29,25,43,35,48,72,42,53,72,36,63,14,36,19,8,52,42,52,14,17,14,77,75,71,77,79,40,28+2,28+2,28+2,27,29,29,29,27,30+2,30+2,30+2,28+2,31+2,31+2,31+2,28+2,27+2,30+2,30+2,30+2,27+2,26+2,29+2,29+2,29+2,26+2,76+1
229167,M. Rashica,"CF, LM, RM",77,82,15500000,38000,25,1996-06-28,177,73,1792,Norwich City,English Premier League,1,LM,17,nan,2021-07-01,2025,219,Kosovo,nan,nan,Right,4,4,1,High/Medium,83,77,71,83,46,65,73,74,53,71,76,85,78,69,67,79,93,75,90,77,82,85,47,76,60,76,67,47,72,70,73,79,52,40,36,7,14,7,14,6,nan,74+2,74+2,74+2,78,77,77,77,78,76+2,76+2,76+2,77+2,71+2,71+2,71+2,77+2,64+2,61+2,61+2,61+2,64+2,61+2,53+2,53+2,53+2,61+2,17+2
190362,T. Pukki,ST,76,76,6500000,37000,31,1990-03-29,180,80,1792,Norwich City,English Premier League,1,ST,22,nan,2018-07-01,2022,17,Finland,1334,RS,Right,3,3,1,High/High,76,76,60,75,34,68,45,81,63,71,74,73,53,40,48,77,78,74,77,83,72,75,68,77,69,66,56,44,84,71,73,81,30,29,16,13,8,8,9,7,nan,76,76,76,73,76,76,76,73,74+2,74+2,74+2,72+2,68+2,68+2,68+2,72+2,55+2,54+2,54+2,54+2,55+2,52+2,48+2,48+2,48+2,52+2,17+2
222404,M. Normann,"CDM, CM",76,82,10500000,30000,25,1996-05-28,179,75,1792,Norwich City,English Premier League,1,SUB,16,nan,2019-01-28,2024,36,Norway,1352,RCM,Right,3,3,1,Medium/High,72,64,72,75,71,81,67,60,58,77,49,74,70,47,76,76,73,71,74,71,80,73,78,83,82,68,75,75,68,72,52,72,70,73,68,14,6,9,13,7,nan,69+2,69+2,69+2,71,71,71,71,71,72+2,72+2,72+2,73+2,74+2,74+2,74+2,73+2,73+2,75+2,75+2,75+2,73+2,72+2,72+2,72+2,72+2,72+2,17+2
230020,P. Lees-Melou,CM,76,76,7500000,36000,28,1993-05-25,186,70,1792,Norwich City,English Premier League,1,RCM,20,nan,2021-07-13,2024,18,France,nan,nan,Right,4,3,1,High/High,67,72,77,76,67,74,75,70,58,79,58,77,79,71,77,79,67,67,72,74,60,77,68,85,72,78,69,67,75,75,65,77,71,69,61,14,6,12,9,10,nan,72+2,72+2,72+2,75,75,75,75,75,76,76,76,75+1,76,76,76,75+1,73+2,73+2,73+2,73+2,73+2,71+2,69+2,69+2,69+2,71+2,17+2
239890,O. Kabak,CB,76,85,15500000,9000,21,2000-03-25,186,86,1792,Norwich City,English Premier League,1,SUB,15,FC Schalke 04,nan,2022,48,Turkey,nan,nan,Right,3,2,2,Medium/High,69,36,56,69,74,79,26,35,76,73,28,67,32,31,69,72,63,73,64,71,64,48,84,65,85,25,80,72,30,60,47,75,72,76,75,10,13,10,6,5,nan,56+2,56+2,56+2,56,57,57,57,56,60+2,60+2,60+2,59+2,64+2,64+2,64+2,59+2,66+2,72+2,72+2,72+2,66+2,68+2,76+2,76+2,76+2,68+2,15+2
198904,G. Hanley,CB,75,75,4700000,31000,29,1991-11-20,187,81,1792,Norwich City,English Premier League,1,RCB,5,nan,2017-08-30,2025,42,Scotland,1359,CB,Right,3,2,1,Low/High,52,32,45,51,76,74,29,30,72,60,32,43,33,35,48,58,52,52,48,71,51,40,85,50,82,29,81,74,33,39,28,66,78,75,77,9,9,11,12,8,nan,49+2,49+2,49+2,46,47,47,47,46,48+2,48+2,48+2,47+2,53+2,53+2,53+2,47+2,61+2,66+2,66+2,66+2,61+2,64+2,75,75,75,64+2,16+2
225748,T. Cantwell,LM,75,82,11500000,28000,23,1998-02-27,177,70,1792,Norwich City,English Premier League,1,RM,14,nan,2016-04-05,2022,14,England,nan,nan,Right,2,4,1,High/Medium,72,68,72,78,39,51,66,71,43,76,62,77,73,66,68,80,74,71,77,74,74,66,46,68,45,67,48,30,73,77,58,75,40,45,31,10,8,14,15,16,nan,68+2,68+2,68+2,74,74,74,74,74,75+2,75+2,75+2,74+2,71+2,71+2,71+2,74+2,58+2,57+2,57+2,57+2,58+2,55+2,46+2,46+2,46+2,55+2,19+2
240060,M. Aarons,RB,75,83,12000000,21000,21,2000-01-04,178,69,1792,Norwich City,English Premier League,1,RB,2,nan,2017-07-01,2024,14,England,nan,nan,Right,3,3,1,High/Medium,81,42,64,75,70,71,68,41,53,71,41,76,50,32,61,74,83,79,78,70,79,46,55,86,67,36,68,71,67,60,27,75,75,71,69,11,11,7,9,8,nan,60+2,60+2,60+2,68,65,65,65,68,67+2,67+2,67+2,70+2,68+2,68+2,68+2,70+2,74+2,71+2,71+2,71+2,74+2,73+2,69+2,69+2,69+2,73+2,16+2
243414,B. Williams,"RB, LB",75,80,8000000,54000,20,2000-09-03,182,63,1792,Norwich City,English Premier League,1,SUB,21,Manchester United,nan,2022,14,England,nan,nan,Right,3,3,1,High/Medium,80,57,65,73,70,68,69,54,59,71,62,73,61,30,61,72,77,82,75,72,68,69,72,73,60,50,82,73,66,62,41,72,68,73,75,10,13,11,7,7,nan,66+2,66+2,66+2,69,68,68,68,69,68+2,68+2,68+2,70+2,68+2,68+2,68+2,70+2,73+2,70+2,70+2,70+2,73+2,73+2,70+2,70+2,70+2,73+2,16+2
