sofifa_id,short_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
205569,J. Ward-Prowse,CM,81,84,33500000,69000,26,1994-11-01,173,66,17,Southampton,English Premier League,1,RCM,8,nan,2011-06-01,2026,14,England,nan,nan,Right,3,3,2,Medium/High,59,74,86,78,67,73,89,71,57,85,51,76,92,92,84,82,66,54,75,75,76,82,65,91,64,79,73,67,65,82,79,77,64,74,65,12,12,10,15,15,nan,71+2,71+2,71+2,76,75,75,75,76,77+2,77+2,77+2,77+2,80+2,80+2,80+2,77+2,75+2,76+2,76+2,76+2,75+2,73+2,68+2,68+2,68+2,73+2,20+2
199576,Oriol Romeu,"CDM, CM",78,78,12000000,53000,29,1991-09-24,183,83,17,Southampton,English Premier League,1,LCM,6,nan,2015-08-12,2023,45,Spain,nan,nan,Right,3,2,2,Low/High,41,44,62,65,80,81,37,25,69,78,52,63,49,53,72,70,50,34,54,72,59,75,65,74,82,48,89,81,48,56,54,74,80,83,78,12,14,10,11,16,nan,56+2,56+2,56+2,55,58,58,58,55,60+2,60+2,60+2,58+2,68+2,68+2,68+2,58+2,68+2,77+1,77+1,77+1,68+2,69+2,78,78,78,69+2,20+2
202282,S. Armstrong,"RM, CM",77,77,10500000,54000,29,1992-03-30,183,75,17,Southampton,English Premier League,1,RM,17,nan,2018-06-26,2024,42,Scotland,1359,SUB,Right,4,3,1,High/High,73,77,75,76,65,72,72,76,66,77,62,77,75,74,74,76,72,73,77,77,65,80,71,83,68,82,69,69,76,75,64,70,63,67,60,14,8,13,11,13,nan,75+2,75+2,75+2,76,76,76,76,76,76+1,76+1,76+1,76+1,76+1,76+1,76+1,76+1,72+2,72+2,72+2,72+2,72+2,70+2,68+2,68+2,68+2,70+2,19+2
227927,K. Walker-Peters,RB,77,82,15000000,41000,24,1997-04-13,174,64,17,Southampton,English Premier League,1,SUB,2,nan,2020-08-11,2025,14,England,nan,nan,Right,4,3,1,High/Medium,76,38,68,75,73,68,78,35,64,73,25,74,54,31,62,77,78,74,72,75,80,38,75,78,61,41,70,72,65,64,32,73,73,77,74,9,8,7,11,12,nan,59+2,59+2,59+2,68,65,65,65,68,67+2,67+2,67+2,71+2,69+2,69+2,69+2,71+2,75+2,72+2,72+2,72+2,75+2,75+2,72+2,72+2,72+2,75+2,17+2
231318,R. Perraud,LB,77,83,15500000,41000,23,1997-09-22,173,68,17,Southampton,English Premier League,1,LB,15,nan,2021-07-02,2025,18,France,nan,nan,Left,2,3,1,High/High,74,72,75,74,72,73,77,65,62,77,70,75,72,73,72,74,74,74,73,75,80,84,56,86,64,78,85,75,76,71,60,69,73,74,70,6,7,10,11,13,nan,72+2,72+2,72+2,74,74,74,74,74,74+2,74+2,74+2,75+2,75+2,75+2,75+2,75+2,76+2,75+2,75+2,75+2,76+2,75+2,72+2,72+2,72+2,75+2,17+2
164859,T. Walcott,RM,76,76,6000000,49000,32,1989-03-16,176,68,17,Southampton,English Premier League,1,SUB,32,nan,2021-07-01,2023,14,England,nan,nan,Right,2,3,3,Medium/Medium,85,70,69,78,39,59,73,70,58,70,71,78,76,74,61,78,86,84,79,76,77,76,59,61,55,65,65,35,74,67,69,74,37,39,36,11,8,9,9,8,nan,72+3,72+3,72+3,75,75,75,75,75,73+3,73+3,73+3,74+2,67+3,67+3,67+3,74+2,60+3,56+3,56+3,56+3,60+3,57+3,50+3,50+3,50+3,57+3,16+3
198719,N. Redmond,LM,76,76,8000000,49000,27,1994-03-06,173,69,17,Southampton,English Premier League,1,SUB,11,nan,2016-07-01,2023,14,England,nan,nan,Right,3,4,2,High/Medium,81,72,70,81,30,53,70,70,33,73,55,82,72,65,62,79,85,78,88,72,86,81,39,73,50,74,38,30,78,71,57,68,33,26,30,12,14,16,6,10,nan,70+2,70+2,70+2,Jan-77,76,76,76,Jan-77,76,76,76,75+1,68+2,68+2,68+2,75+1,58+2,52+2,52+2,52+2,58+2,53+2,40+2,40+2,40+2,53+2,18+2
220570,J. Bednarek,CB,76,82,10500000,42000,25,1996-04-12,189,77,17,Southampton,English Premier League,1,SUB,35,nan,2017-07-01,2025,37,Poland,1353,LCB,Right,3,2,1,Medium/High,52,22,53,55,78,77,44,19,77,65,20,50,23,26,55,59,50,54,52,77,59,25,81,71,80,23,78,81,26,52,32,62,76,78,74,11,13,16,7,9,nan,46+2,46+2,46+2,48,47,47,47,48,51+2,51+2,51+2,52+2,58+2,58+2,58+2,52+2,66+2,71+2,71+2,71+2,66+2,69+2,76+2,76+2,76+2,69+2,18+2
221841,A. Armstrong,"ST, LW",76,82,12000000,46000,24,1997-02-10,172,69,17,Southampton,English Premier League,1,LS,9,nan,2021-08-10,2025,14,England,nan,nan,Right,4,3,1,High/Low,90,77,66,76,35,71,62,79,66,70,68,74,69,63,58,74,93,88,87,76,90,76,84,81,61,76,79,41,78,67,71,75,36,23,25,10,13,13,12,7,nan,76+2,76+2,76+2,76,76,76,76,76,74+2,74+2,74+2,74+2,67+2,67+2,67+2,74+2,59+2,55+2,55+2,55+2,59+2,56+2,50+2,50+2,50+2,56+2,18+2
226093,C. Adams,ST,76,81,11500000,46000,24,1996-07-13,178,70,17,Southampton,English Premier League,1,RS,10,nan,2019-07-01,2024,42,Scotland,1359,LS,Right,3,3,1,High/Medium,84,77,62,74,40,77,55,76,63,70,70,73,63,59,53,75,83,84,78,74,74,86,76,77,79,75,74,36,77,62,69,71,33,42,36,16,13,12,15,9,nan,76+2,76+2,76+2,73,75,75,75,73,72+2,72+2,72+2,71+2,66+2,66+2,66+2,71+2,58+2,57+2,57+2,57+2,58+2,56+2,54+2,54+2,54+2,56+2,20+2
244915,M. Salisu,CB,76,84,15500000,38000,22,1999-04-17,191,85,17,Southampton,English Premier League,1,LCB,22,nan,2020-08-12,2024,117,Ghana,nan,nan,Left,3,2,1,Medium/High,67,36,51,55,76,79,40,30,74,72,22,47,50,32,56,64,62,71,54,68,49,60,74,65,87,28,78,75,35,24,40,58,76,78,75,7,7,11,10,6,nan,54+2,54+2,54+2,50,51,51,51,50,50+2,50+2,50+2,53+2,56+2,56+2,56+2,53+2,66+2,70+2,70+2,70+2,66+2,69+2,76+2,76+2,76+2,69+2,14+2
172203,F. Forster,GK,75,75,1800000,34000,33,1988-03-17,201,93,17,Southampton,English Premier League,1,SUB,44,nan,2014-08-09,2022,14,England,nan,nan,Right,5,1,2,Medium/Medium,nan,nan,nan,nan,nan,nan,19,13,13,27,19,20,10,19,19,33,26,35,44,70,42,48,69,29,80,12,44,22,13,48,22,54,11,13,12,75,71,64,74,79,30,29+2,29+2,29+2,28,30,30,30,28,30+2,30+2,30+2,29+2,30+2,30+2,30+2,29+2,26+2,29+2,29+2,29+2,26+2,25+2,29+2,29+2,29+2,25+2,74+1
