sofifa_id,short_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
202126,H. Kane,ST,90,90,129500000,240000,27,1993-07-28,188,89,18,Tottenham Hotspur,English Premier League,1,ST,10,nan,2010-07-28,2024,14,England,1318,ST,Right,5,3,4,High/High,70,91,83,83,47,83,80,94,86,85,88,83,83,65,86,85,65,74,71,92,70,91,79,83,85,86,80,44,94,87,91,91,50,36,38,8,10,11,14,11,nan,88+2,88+2,88+2,84,86,86,86,84,85+3,85+3,85+3,84+3,82+3,82+3,82+3,84+3,67+3,68+3,68+3,68+3,67+3,64+3,61+3,61+3,61+3,64+3,20+3
200104,H. Son, CF,89,89,104000000,220000,28,1992-07-08,183,78,18,Tottenham Hotspur,English Premier League,1,LW,7,nan,2015-08-28,2025,167,Korea Republic,nan,nan,Right,5,4,4,High/High,nan,88,87,82,86,43,69,83,88,68,84,78,87,85,74,74,84,85,90,86,91,78,88,60,88,64,89,62,39,91,83,73,89,50,34,33,11,13,13,6,10,nan,85+3,85+3,85+3,87,87,87,87,87,86+3,86+3,86+3,86+3,80+3,80+3,80+3,86+3,68+3,64+3,64+3,64+3,68+3,64+3,54+3,54+3,54+3,64+3
167948,H. Lloris,GK,87,87,13500000,125000,34,1986-12-26,188,82,18,Tottenham Hotspur,English Premier League,1,GK,1,nan,2012-08-31,2022,18,France,1335,GK,Left,1,1,4,Medium/Medium,nan,nan,nan,nan,nan,nan,13,10,10,50,11,10,11,10,50,34,61,62,55,85,54,49,74,41,43,14,31,27,10,50,40,65,29,10,18,88,83,65,84,90,61,31+3,31+3,31+3,33,34,34,34,33,38+3,38+3,38+3,36+3,39+3,39+3,39+3,36+3,35+3,38+3,38+3,38+3,35+3,34+3,30+3,30+3,30+3,34+3,85+2
213648,P. Højbjerg,"CDM, CM",83,86,43500000,105000,25,1995-08-05,185,84,18,Tottenham Hotspur,English Premier League,1,RCM,5,nan,2020-08-11,2025,13,Denmark,1331,RCM,Right,4,3,2,Medium/High,60,71,76,76,81,82,66,65,65,83,60,76,70,74,80,80,58,61,65,82,64,84,65,88,78,79,87,82,65,73,51,82,84,84,72,9,7,12,11,11,nan,72+2,72+2,72+2,72,74,74,74,72,75+2,75+2,75+2,74+2,79+2,79+2,79+2,74+2,77+2,82+2,82+2,82+2,77+2,77+2,79+2,79+2,79+2,77+2,18+2
211515,P. Gollini,GK,82,87,35000000,48000,26,1995-03-18,194,94,18,Tottenham Hotspur,English Premier League,1,SUB,22,Atalanta,nan,2022,27,Italy,nan,nan,Right,2,1,2,Medium/Medium,nan,nan,nan,nan,nan,nan,17,14,19,31,20,18,13,15,25,24,46,48,56,77,52,57,52,40,68,17,19,18,12,30,21,63,20,12,19,82,81,76,83,82,47,32+2,32+2,32+2,29,30,30,30,29,29+2,29+2,29+2,30+2,29+2,29+2,29+2,30+2,29+2,29+2,29+2,29+2,29+2,29+2,28+2,28+2,28+2,29+2,81+2
232488,C. Romero,CB,82,87,41500000,51000,23,1998-04-27,185,79,18,Tottenham Hotspur,English Premier League,1,SUB,4,Atalanta,nan,2022,52,Argentina,1369,RCB,Right,2,3,3,Low/High,76,46,52,61,83,84,39,48,83,69,53,50,43,38,49,68,80,73,72,81,68,51,86,83,82,37,89,80,39,43,40,78,83,84,83,5,7,11,10,14,nan,60+3,60+3,60+3,57,58,58,58,57,58+3,58+3,58+3,59+3,61+3,61+3,61+3,59+3,73+3,74+3,74+3,74+3,73+3,76+3,82+3,82+3,82+3,76+3,17+3
235569,T. Ndombele,"CAM, CM, CDM",82,87,46000000,95000,24,1996-12-28,179,76,18,Tottenham Hotspur,English Premier League,1,SUB,28,nan,2019-07-02,2024,18,France,nan,nan,Right,3,4,1,Medium/Medium,71,72,81,88,69,72,75,70,56,85,62,89,76,62,81,87,73,69,84,81,91,80,60,69,74,75,73,72,72,87,60,87,66,74,69,8,10,13,8,7,nan,75+2,75+2,75+2,80,80,80,80,80,82+2,82+2,82+2,80+2,81+2,81+2,81+2,80+2,75+2,77+2,77+2,77+2,75+2,73+2,71+2,71+2,71+2,73+2,16+2
200949,Lucas Moura,"RM, CF",81,81,26000000,105000,28,1992-08-13,174,70,18,Tottenham Hotspur,English Premier League,1,RW,27,nan,2018-01-31,2024,54,Brazil,nan,nan,Right,4,4,3,High/Medium,90,79,70,86,43,68,70,79,65,72,70,88,71,71,66,82,93,88,93,79,92,85,95,75,57,75,78,50,78,70,74,81,31,43,44,9,10,14,7,14,nan,78+3,78+3,78+3,81,80,80,80,81,79+2,79+2,79+2,79+2,72+3,72+3,72+3,79+2,65+3,61+3,61+3,61+3,65+3,62+3,56+3,56+3,56+3,62+3,18+3
226226,G. Lo Celso,"CM, CAM",81,85,35500000,95000,25,1996-04-09,177,68,18,Tottenham Hotspur,English Premier League,1,SUB,18,nan,2020-07-27,2025,52,Argentina,1369,LCM,Left,3,4,1,High/High,75,76,82,83,69,73,79,75,60,84,69,83,82,79,83,85,76,75,83,82,80,82,57,76,70,75,82,70,76,83,65,80,64,75,68,10,7,10,15,14,nan,77+2,77+2,77+2,80,80,80,80,80,81+2,81+2,81+2,81+2,81+2,81+2,81+2,81+2,76+2,77+2,77+2,77+2,76+2,74+2,71+2,71+2,71+2,74+2,19+2
245279,Reguilón,LB,81,84,32500000,79000,24,1996-12-16,178,68,18,Tottenham Hotspur,English Premier League,1,LB,3,nan,2020-09-19,2025,45,Spain,nan,nan,Left,3,3,1,High/High,86,58,75,78,78,70,82,52,72,78,45,78,73,45,70,81,84,87,75,77,74,72,64,77,65,58,76,78,75,73,42,74,77,79,79,11,14,9,5,12,nan,71+2,71+2,71+2,76,74,74,74,76,75+2,75+2,75+2,77+2,75+2,75+2,75+2,77+2,79+2,77+2,77+2,77+2,79+2,79+2,76+2,76+2,76+2,79+2,18+2
