sofifa_id,short_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
163155,B. Foster,GK,78,78,1600000,27000,38,1983-04-03,193,90,1795,Watford,English Premier League,1,SUB,1,nan,2018-07-07,2022,14,England,nan,nan,Left,3,1,2,Medium/Medium,nan,nan,nan,nan,nan,nan,15,18,14,36,14,14,15,17,32,25,47,44,45,74,50,55,73,32,57,14,15,23,14,41,41,63,22,15,14,78,77,73,78,78,46,31+2,31+2,31+2,29,31,31,31,29,31+2,31+2,31+2,30+2,32+2,32+2,32+2,30+2,29+2,30+2,30+2,30+2,29+2,28+2,28+2,28+2,28+2,28+2,77+1
183394,M. Sissoko,"CDM, CM",78,78,10000000,51000,31,1989-08-16,187,91,1795,Watford,English Premier League,1,RCM,19,nan,2021-08-27,2023,18,France,nan,nan,Right,3,3,2,Medium/High,74,61,73,75,75,87,72,52,65,77,62,78,75,60,75,76,65,81,64,76,58,83,70,85,90,59,85,75,71,68,60,74,75,79,71,14,8,11,10,8,nan,71+2,71+2,71+2,71,72,72,72,71,72+2,72+2,72+2,74+2,74+2,74+2,74+2,74+2,76+2,77+1,77+1,77+1,76+2,75+2,77+1,77+1,77+1,75+2,17+2
235353,I. Sarr,"RW, RM, ST",78,86,31000000,53000,23,1998-02-25,185,76,1795,Watford,English Premier League,1,RM,23,nan,2019-08-08,2024,136,Senegal,nan,nan,Right,2,4,1,High/Medium,94,76,67,80,22,67,68,75,44,69,76,82,78,55,59,79,94,94,78,76,74,82,48,73,71,78,53,17,73,68,58,78,25,16,21,14,13,7,6,9,nan,75+2,75+2,75+2,78,77,77,77,78,75+2,75+2,75+2,76+2,66+2,66+2,66+2,76+2,55+2,49+2,49+2,49+2,55+2,50+2,39+2,39+2,39+2,50+2,18+2
190875,J. Kucka,"CM, CDM",77,77,4900000,33000,34,1987-02-26,186,84,1795,Watford,English Premier League,1,SUB,33,Parma,nan,2022,43,Slovakia,nan,nan,Right,4,3,2,High/Medium,58,74,73,74,77,87,68,68,75,76,69,75,68,69,76,77,60,57,68,79,54,85,90,86,87,79,86,78,75,73,71,75,77,77,78,14,8,9,15,8,nan,74+2,74+2,74+2,72,74,74,74,72,74+2,74+2,74+2,73+2,77,77,77,73+2,75+2,Jan-78,Jan-78,Jan-78,75+2,75+2,Feb-79,Feb-79,Feb-79,75+2,19+2
223154,O. Tufan,"CM, CDM, CAM",76,79,9500000,44000,26,1995-03-23,179,80,1795,Watford,English Premier League,1,SUB,18,Fenerbahçe SK,nan,2022,48,Turkey,nan,nan,Right,3,3,1,Medium/Medium,75,73,73,76,73,82,62,71,62,78,55,79,71,65,76,74,74,76,76,71,69,81,72,91,79,77,79,76,74,73,53,76,70,76,73,6,14,8,7,15,nan,73+2,73+2,73+2,74,75,75,75,74,75+2,75+2,75+2,75+2,76+2,76+2,76+2,75+2,75+2,76+2,76+2,76+2,75+2,74+2,74+2,74+2,74+2,74+2,17+2
169595,D. Rose,LB,75,75,4800000,42000,30,1990-07-02,174,76,1795,Watford,English Premier League,1,SUB,3,nan,2021-07-01,2023,14,England,nan,nan,Left,3,3,2,Medium/High,72,58,71,75,74,68,76,52,64,75,60,75,66,57,66,76,71,72,69,73,78,67,77,52,68,59,87,74,63,68,57,73,75,75,78,10,11,8,13,13,nan,66+2,66+2,66+2,70,69,69,69,70,70+2,70+2,70+2,70+2,70+2,70+2,70+2,70+2,73+2,73+2,73+2,73+2,73+2,73+2,74+1,74+1,74+1,73+2,18+2
185422,J. King,"ST, LM",75,75,5500000,52000,29,1992-01-15,184,82,1795,Watford,English Premier League,1,SUB,7,nan,2021-07-09,2023,36,Norway,1352,SUB,Right,3,4,1,Medium/Low,79,76,68,76,38,70,65,75,68,72,73,77,70,53,62,76,77,81,74,72,73,77,72,57,76,75,73,34,75,71,81,77,33,39,27,12,9,11,12,7,nan,75,75,75,74,75,75,75,74,74+1,74+1,74+1,73+2,67+2,67+2,67+2,73+2,56+2,56+2,56+2,56+2,56+2,54+2,52+2,52+2,52+2,54+2,17+2
189860,Kiko Femenía,"RB, LB",75,75,4800000,42000,30,1991-02-02,174,61,1795,Watford,English Premier League,1,SUB,21,nan,2017-07-01,2024,45,Spain,nan,nan,Right,3,3,1,High/Medium,74,57,70,74,70,68,76,53,58,74,54,72,65,55,63,75,76,72,78,70,82,56,69,77,63,64,70,71,67,69,60,68,71,72,73,16,15,7,15,11,nan,64+2,64+2,64+2,70,68,68,68,70,70+2,70+2,70+2,71+2,70+2,70+2,70+2,71+2,73+2,71+2,71+2,71+2,73+2,73+2,69+2,69+2,69+2,73+2,20+2
190324,C. Kabasele,CB,75,75,4600000,42000,30,1991-02-24,188,84,1795,Watford,English Premier League,1,SUB,27,nan,2016-07-01,2023,7,Belgium,nan,nan,Right,3,2,1,Medium/High,67,50,51,61,76,76,47,49,75,65,52,59,34,27,57,66,59,74,52,73,51,57,83,65,80,44,76,74,50,36,53,64,76,76,77,14,11,6,14,16,nan,61+2,61+2,61+2,57,58,58,58,57,57+2,57+2,57+2,59+2,59+2,59+2,59+2,59+2,68+2,69+2,69+2,69+2,68+2,70+2,75,75,75,70+2,20+2
237034,J. Hernández,"ST, RM, LM",75,81,9000000,44000,22,1999-04-22,176,73,1795,Watford,English Premier League,1,SUB,29,nan,2017-07-01,2022,56,Colombia,nan,nan,Right,4,3,1,High/Medium,83,75,65,73,42,73,58,78,69,70,64,75,57,68,62,70,86,81,70,74,77,73,71,74,72,74,73,23,77,66,70,70,44,43,40,9,11,11,9,6,nan,75+2,75+2,75+2,73,74,74,74,73,72+2,72+2,72+2,72+2,66+2,66+2,66+2,72+2,58+2,56+2,56+2,56+2,58+2,56+2,53+2,53+2,53+2,56+2,16+2
242794,I. Louza,"CM, CAM, CDM",75,81,9000000,40000,22,1999-05-01,178,65,1795,Watford,English Premier League,1,SUB,6,nan,2021-07-01,2026,18,France,nan,nan,Left,3,4,1,Medium/Medium,61,64,74,76,63,52,64,62,49,78,51,76,70,70,75,81,56,65,68,71,77,66,46,72,38,66,63,65,72,76,69,75,59,72,60,7,15,6,6,5,nan,65+2,65+2,65+2,71,71,71,71,71,73+2,73+2,73+2,72+2,75+2,75+2,75+2,72+2,68+2,70+2,70+2,70+2,68+2,66+2,61+2,61+2,61+2,66+2,15+2
189725,T. Cleverley,"CM, CAM",74,74,3500000,43000,31,1989-08-12,175,67,1795,Watford,English Premier League,1,LCM,8,nan,2017-07-01,2022,14,England,nan,nan,Right,3,3,2,High/Medium,60,69,74,73,61,65,74,64,48,76,68,72,59,62,75,75,65,55,69,75,75,74,59,68,61,75,71,66,69,77,72,67,56,71,52,15,11,9,12,13,nan,67+2,67+2,67+2,71,71,71,71,71,73+1,73+1,73+1,71+2,74,74,74,71+2,67+2,69+2,69+2,69+2,67+2,65+2,63+2,63+2,63+2,65+2,19+2
225410,A. Masina,LB,74,75,4400000,39000,27,1994-01-02,191,87,1795,Watford,English Premier League,1,LB,11,nan,2018-07-02,2023,129,Morocco,nan,nan,Left,3,3,1,Medium/High,62,42,66,68,72,73,74,30,72,69,37,69,64,35,68,73,54,69,63,69,42,63,64,75,75,46,66,72,58,60,31,72,69,75,76,14,14,13,7,6,nan,59+2,59+2,59+2,62,61,61,61,62,63+2,63+2,63+2,65+2,67+2,67+2,67+2,65+2,72+2,71+2,71+2,71+2,72+2,72+2,72+2,72+2,72+2,72+2,17+2
239015,E. Dennis,"ST, RW, LW",74,79,6500000,41000,23,1997-11-15,175,66,1795,Watford,English Premier League,1,ST,25,nan,2021-07-01,2026,133,Nigeria,nan,nan,Right,3,4,1,Medium/Low,88,72,60,76,38,68,67,73,74,64,66,76,62,41,58,74,91,85,88,77,80,78,94,71,63,68,68,13,69,54,56,67,38,45,27,13,7,11,11,13,nan,74+2,74+2,74+2,73,73,73,73,73,70+2,70+2,70+2,72+2,63+2,63+2,63+2,72+2,56+2,52+2,52+2,52+2,56+2,54+2,50+2,50+2,50+2,54+2,18+2
213414,W. Troost-Ekong,CB,73,75,3200000,36000,27,1993-09-01,191,82,1795,Watford,English Premier League,1,RCB,5,nan,2020-09-29,2025,133,Nigeria,nan,nan,Right,3,2,1,Low/Medium,61,32,45,44,76,77,37,23,76,55,26,37,25,26,52,50,54,67,32,67,55,53,69,66,84,33,76,75,30,41,40,69,76,76,73,6,15,10,9,7,nan,48+2,48+2,48+2,43,45,45,45,43,45+2,45+2,45+2,47+2,51+2,51+2,51+2,47+2,62+2,65+2,65+2,65+2,62+2,65+2,73+2,73+2,73+2,65+2,16+2
213750,K. Sema,"LW, LM, LWB",73,73,3200000,43000,27,1993-09-30,180,69,1795,Watford,English Premier League,1,LM,12,nan,2018-07-05,2023,46,Sweden,1363,SUB,Left,3,3,1,Medium/Medium,78,66,71,74,60,68,74,63,37,73,61,76,67,72,64,74,76,79,72,70,77,77,49,72,70,68,64,64,70,72,44,62,60,66,59,7,11,10,16,7,nan,68+2,68+2,68+2,73,71,71,71,73,72+1,72+1,72+1,73,70+2,70+2,70+2,73,69+2,67+2,67+2,67+2,69+2,67+2,62+2,62+2,62+2,67+2,17+2
180706,C. Cathcart,"CB, RB",72,72,1500000,32000,32,1989-02-06,190,83,1795,Watford,English Premier League,1,RB,15,nan,2014-06-24,2023,35,Northern Ireland,110081,RCB,Right,3,2,1,Medium/High,35,37,55,53,74,71,39,29,76,67,30,47,39,39,64,58,34,35,50,72,50,56,67,57,77,41,73,73,33,52,28,71,77,73,72,8,6,12,9,13,nan,50+2,50+2,50+2,47,49,49,49,47,51+2,51+2,51+2,49+2,59+2,59+2,59+2,49+2,61+2,68+2,68+2,68+2,61+2,63+2,72,72,72,63+2,16+2
184749,D. Gosling,CM,72,72,1900000,35000,31,1990-02-01,183,79,1795,Watford,English Premier League,1,RES,16,nan,2021-01-31,2023,14,England,nan,nan,Right,3,3,1,Medium/Medium,50,68,71,68,70,67,68,66,65,75,64,65,63,57,74,73,51,50,62,74,67,71,64,66,65,73,73,71,70,71,61,76,70,70,68,6,15,14,15,6,nan,67+2,67+2,67+2,67,68,68,68,67,69+2,69+2,69+2,68+2,72,72,72,68+2,68+2,71+1,71+1,71+1,68+2,68+2,69+2,69+2,69+2,68+2,18+2
228681,F. Sierralta,CB,72,78,3400000,27000,24,1997-05-06,190,83,1795,Watford,English Premier League,1,LCB,31,nan,2020-09-09,2023,55,Chile,nan,nan,Right,3,2,1,Medium/High,53,30,50,53,70,76,57,30,67,66,23,46,23,28,45,63,52,54,51,71,34,38,80,53,85,25,79,72,24,33,40,52,73,67,70,12,10,9,7,13,nan,48+2,48+2,48+2,49,47,47,47,49,48+2,48+2,48+2,51+2,52+2,52+2,52+2,51+2,63+2,65+2,65+2,65+2,63+2,65+2,72+2,72+2,72+2,65+2,17+2
234457,O. Etebo,"CM, CDM",72,76,3200000,20000,25,1995-11-09,176,70,1795,Watford,English Premier League,1,CDM,4,Stoke City,nan,2022,133,Nigeria,nan,nan,Right,4,3,1,High/High,77,65,68,75,71,81,61,59,68,72,66,74,62,66,70,76,79,76,84,73,77,80,85,87,77,62,80,68,65,67,69,68,72,73,72,10,12,13,12,15,nan,70+2,70+2,70+2,70,71,71,71,70,71+2,71+2,71+2,71+2,72+2,72+2,72+2,71+2,73+2,73+2,73+2,73+2,73+2,73+2,73+2,73+2,73+2,73+2,19+2
252042,João Pedro,ST,71,84,4500000,20000,19,2001-09-26,182,70,1795,Watford,English Premier League,1,SUB,10,nan,2020-01-01,2025,54,Brazil,nan,nan,Right,4,3,1,Medium/Medium,78,68,59,74,22,57,56,71,70,64,65,75,61,33,54,73,80,76,80,71,60,68,53,70,63,61,29,14,73,63,69,70,17,19,14,7,6,10,8,14,nan,71+2,71+2,71+2,70,71,71,71,70,69+2,69+2,69+2,69+2,61+2,61+2,61+2,69+2,48+2,44+2,44+2,44+2,48+2,45+2,37+2,37+2,37+2,45+2,16+2
209532,D. Bachmann,GK,70,73,1600000,20000,26,1994-07-09,191,81,1795,Watford,English Premier League,1,GK,26,nan,2017-07-01,2024,4,Austria,1322,GK,Right,3,1,1,Medium/Medium,nan,nan,nan,nan,nan,nan,14,17,12,37,16,14,18,20,39,27,50,37,40,74,44,51,57,36,75,15,31,26,13,36,31,51,14,11,11,69,67,68,65,71,45,31+2,31+2,31+2,28,30,30,30,28,31+2,31+2,31+2,30+2,32+2,32+2,32+2,30+2,28+2,32+2,32+2,32+2,28+2,27+2,28+2,28+2,28+2,27+2,69+2
167931,R. Elliot,GK,69,69,150000,11000,35,1986-04-30,190,94,1795,Watford,English Premier League,1,RES,35,nan,2021-01-28,2023,25,Republic of Ireland,nan,nan,Left,2,1,1,Medium/Medium,nan,nan,nan,nan,nan,nan,16,11,13,28,13,15,16,12,31,22,42,34,54,60,42,56,52,31,71,12,12,22,12,35,43,52,15,12,15,70,65,74,69,70,39,27+2,27+2,27+2,25,26,26,26,25,27+2,27+2,27+2,26+2,27+2,27+2,27+2,26+2,25+2,27+2,27+2,27+2,25+2,24+2,25+2,25+2,25+2,24+2,68+1
213699,A. Fletcher,ST,69,73,2000000,24000,25,1995-10-02,188,78,1795,Watford,English Premier League,1,SUB,17,nan,2021-07-01,2026,14,England,nan,nan,Right,2,3,1,Medium/Low,73,69,44,67,29,69,23,71,74,59,53,68,44,23,38,65,67,77,75,67,56,75,71,63,73,66,65,22,68,49,52,62,17,32,23,14,8,12,8,8,nan,69+2,69+2,69+2,62,66,66,66,62,63+2,63+2,63+2,60+2,55+2,55+2,55+2,60+2,44+2,45+2,45+2,45+2,44+2,44+2,45+2,45+2,45+2,44+2,16+2
247623,J. Ngakia,"RB, RWB",69,81,3200000,15000,20,2000-09-07,178,73,1795,Watford,English Premier League,1,SUB,2,nan,2020-08-14,2024,14,England,nan,nan,Right,2,2,1,High/Medium,73,28,50,65,67,63,59,26,57,63,29,67,34,25,48,64,74,73,62,67,73,24,68,66,60,28,63,65,47,32,37,54,67,73,67,13,14,9,13,14,nan,50+2,50+2,50+2,57,53,53,53,57,54+2,54+2,54+2,59+2,55+2,55+2,55+2,59+2,66+2,63+2,63+2,63+2,66+2,67+2,66+2,66+2,66+2,67+2,19+2
243278,R. Cassidy,ST,60,69,550000,6000,20,2001-03-02,173,69,1795,Watford,English Premier League,1,RES,47,nan,2018-03-18,2022,25,Republic of Ireland,nan,nan,Right,3,3,1,Medium/Medium,74,59,47,60,23,54,39,61,58,54,56,57,47,36,40,59,76,73,72,58,83,59,66,65,53,54,40,21,61,51,60,57,24,14,15,10,9,14,12,10,nan,60+2,60+2,60+2,58,59,59,59,58,58+2,58+2,58+2,57+2,51+2,51+2,51+2,57+2,43+2,39+2,39+2,39+2,43+2,41+2,35+2,35+2,35+2,41+2,16+2
254807,K. Baah,"LM, RM",60,80,675000,3000,18,2003-01-27,183,75,1795,Watford,English Premier League,1,RES,34,nan,2021-07-01,2026,14,England,nan,nan,Right,2,3,1,High/Medium,85,55,51,63,31,56,49,52,42,52,41,62,45,46,47,59,87,83,74,56,78,64,54,52,61,60,50,28,54,55,48,58,30,32,24,10,6,14,7,14,nan,58+2,58+2,58+2,60,59,59,59,60,58+2,58+2,58+2,59+2,52+2,52+2,52+2,59+2,47+2,44+2,44+2,44+2,47+2,45+2,41+2,41+2,41+2,45+2,15+2
262641,D. Touré,ST,60,83,775000,3000,18,2002-11-01,175,65,1795,Watford,English Premier League,1,RES,49,nan,2021-01-01,2026,118,Guinea,nan,nan,Right,4,2,1,High/Low,87,62,43,65,17,38,43,66,46,49,60,62,43,37,33,65,89,85,86,61,82,63,38,43,39,52,30,19,52,39,70,42,10,16,11,15,6,12,10,10,nan,60+2,60+2,60+2,61,60,60,60,61,57+2,57+2,57+2,58+2,47+2,47+2,47+2,58+2,41+2,34+2,34+2,34+2,41+2,39+2,29+2,29+2,29+2,39+2,16+2
255363,H. Wise,CM,59,69,500000,6000,21,2000-01-01,178,69,1795,Watford,English Premier League,1,RES,46,nan,2019-09-11,2022,14,England,nan,nan,Right,3,2,1,Medium/Medium,59,48,59,58,53,53,48,42,60,69,50,58,50,43,69,57,62,57,58,58,76,66,57,61,45,41,62,51,55,51,57,45,47,56,55,8,9,7,6,7,nan,55+2,55+2,55+2,55,56,56,56,55,57+2,57+2,57+2,57+2,59+2,59+2,59+2,57+2,56+2,58+2,58+2,58+2,56+2,56+2,55+2,55+2,55+2,56+2,13+2
252480,M. Pochettino,RM,56,72,375000,6000,20,2001-03-30,182,73,1795,Watford,English Premier League,1,RES,39,nan,2021-01-31,2025,52,Argentina,nan,nan,Right,3,3,1,Medium/Medium,76,49,52,55,32,41,54,46,49,52,56,57,52,41,52,51,75,76,58,41,62,50,46,47,40,48,37,25,55,52,68,53,34,29,33,11,10,6,10,13,nan,52+2,52+2,52+2,55,53,53,53,55,53+2,53+2,53+2,55+2,48+2,48+2,48+2,55+2,45+2,40+2,40+2,40+2,45+2,44+2,37+2,37+2,37+2,44+2,14+2
