sofifa_id,short_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
164835,Ł. Fabiański,GK,82,82,3400000,43000,36,1985-04-18,190,83,19,West Ham United,English Premier League,1,GK,1,nan,2018-06-20,2022,37,Poland,nan,nan,Right,2,1,2,Medium/Medium,nan,nan,nan,nan,nan,nan,14,13,11,20,17,14,18,12,32,22,50,47,53,75,44,53,69,25,65,20,43,16,15,52,22,63,14,12,13,82,82,71,83,82,49,29+2,29+2,29+2,28,30,30,30,28,30+2,30+2,30+2,29+2,29+2,29+2,29+2,29+2,25+2,27+2,27+2,27+2,25+2,25+2,27+2,27+2,27+2,25+2,81+1
193105,A. Areola,GK,82,84,26000000,75000,28,1993-02-27,195,94,19,West Ham United,English Premier League,1,SUB,13,Paris Saint-Germain,nan,2022,18,France,nan,nan,Right,3,1,2,Medium/Medium,nan,nan,nan,nan,nan,nan,20,19,14,48,16,15,16,16,37,22,56,54,58,78,58,57,72,38,80,14,26,23,17,51,25,64,13,18,12,85,79,76,80,85,55,34+2,34+2,34+2,33,34,34,34,33,36+2,36+2,36+2,35+2,36+2,36+2,36+2,35+2,32+2,34+2,34+2,34+2,32+2,31+2,31+2,31+2,31+2,31+2,81+2
234378,D. Rice,"CDM, CM",82,87,43000000,69000,22,1999-01-14,185,80,19,West Ham United,English Premier League,1,LDM,41,nan,2016-06-29,2024,14,England,1318,CDM,Right,3,2,1,Medium/High,66,53,71,74,81,79,50,42,71,82,40,75,58,53,80,79,64,68,53,77,61,70,74,84,76,60,82,83,54,75,71,80,80,83,80,8,11,14,5,9,nan,64+2,64+2,64+2,66,68,68,68,66,71+2,71+2,71+2,70+2,76+2,76+2,76+2,70+2,76+2,81+2,81+2,81+2,76+2,76+2,79+2,79+2,79+2,76+2,16+2
236792,T. Souček,"CDM, CM",82,85,36000000,81000,26,1995-02-27,192,86,19,West Ham United,English Premier League,1,RDM,28,nan,2020-07-27,2024,12,Czech Republic,1330,RDM,Right,3,3,1,High/High,64,72,74,74,82,85,69,73,83,81,59,74,63,53,76,77,61,66,66,81,58,73,90,92,84,70,76,83,75,72,70,78,81,82,79,11,13,5,6,8,nan,75+2,75+2,75+2,73,74,74,74,73,75+2,75+2,75+2,75+2,78+2,78+2,78+2,75+2,78+2,81+2,81+2,81+2,78+2,79+2,81+2,81+2,81+2,79+2,17+2
204311,K. Zouma,CB,81,84,30000000,75000,26,1994-10-27,190,95,19,West Ham United,English Premier League,1,SUB,4,nan,2021-08-28,2025,18,France,1335,SUB,Right,3,2,2,Medium/Medium,65,51,63,57,81,85,49,47,84,72,47,50,60,59,68,64,54,74,52,78,52,63,91,67,93,49,84,80,49,60,59,69,81,82,78,14,14,7,9,15,nan,62+2,62+2,62+2,58,60,60,60,58,60+2,60+2,60+2,60+2,66+2,66+2,66+2,60+2,70+2,75+2,75+2,75+2,70+2,73+2,81+2,81+2,81+2,73+2,20+2
183855,A. Ogbonna,CB,80,80,10000000,70000,33,1988-05-23,191,86,19,West Ham United,English Premier League,1,LCB,21,nan,2015-07-10,2022,27,Italy,nan,nan,Left,3,2,2,Medium/Medium,56,40,60,62,82,76,51,25,82,70,30,61,51,36,69,63,50,61,52,77,51,68,81,64,81,46,78,82,44,55,39,75,82,83,80,5,3,5,4,4,nan,57+2,57+2,57+2,55,57,57,57,55,58+2,58+2,58+2,58+2,64+2,64+2,64+2,58+2,70+2,74+2,74+2,74+2,70+2,72+2,80,80,80,72+2,12+2
241095,N. Vlašić,CAM,80,86,33500000,66000,23,1997-10-04,178,79,19,West Ham United,English Premier League,1,SUB,11,nan,2021-08-31,2026,10,Croatia,nan,nan,Right,5,3,2,High/Medium,83,77,78,82,48,71,71,76,65,81,72,85,70,72,77,80,82,83,78,78,88,80,55,80,69,81,68,26,77,82,66,77,54,55,37,6,14,15,9,14,nan,77+2,77+2,77+2,80,80,80,80,80,80+2,80+2,80+2,80+2,76+2,76+2,76+2,80+2,64+2,64+2,64+2,64+2,64+2,61+2,57+2,57+2,57+2,61+2,18+2
244470,V. Coufal,"RB, RWB",80,80,19000000,73000,28,1992-08-22,175,76,19,West Ham United,English Premier League,1,RB,5,nan,2020-10-02,2023,12,Czech Republic,1330,RB,Right,3,3,1,High/High,77,56,73,75,78,81,81,50,70,75,61,73,75,42,73,76,76,77,74,78,84,66,84,86,76,59,86,76,69,69,49,72,78,81,78,13,12,12,6,13,nan,68+2,68+2,68+2,72,70,70,70,72,71+2,71+2,71+2,74+2,74+2,74+2,74+2,74+2,78+2,77+2,77+2,77+2,78+2,78+2,78+2,78+2,78+2,78+2,18+2
189615,A. Cresswell,"LB, CB",79,79,12500000,66000,31,1989-12-15,175,66,19,West Ham United,English Premier League,1,LB,3,nan,2014-07-03,2023,14,England,nan,nan,Left,3,3,2,High/Medium,70,60,75,76,77,68,83,54,68,77,48,76,80,73,69,77,73,67,73,78,81,71,86,74,61,66,73,77,60,68,59,72,78,78,79,14,7,9,9,12,nan,67+2,67+2,67+2,72,70,70,70,72,71+2,71+2,71+2,73+2,73+2,73+2,73+2,73+2,77+2,75+2,75+2,75+2,77+2,77+2,75+2,75+2,75+2,77+2,18+2
190717,M. Antonio,"ST, RM",79,79,15000000,79000,31,1990-03-28,178,82,19,West Ham United,English Premier League,1,ST,9,nan,2015-09-01,2023,82,Jamaica,nan,nan,Right,3,4,2,High/Medium,83,76,73,78,55,83,75,79,84,75,70,79,66,60,72,76,79,87,80,80,78,79,91,76,86,68,83,45,80,74,75,70,51,56,53,12,13,8,14,10,nan,79,79,79,78,78,78,78,78,77+2,77+2,77+2,78+1,73+2,73+2,73+2,78+1,67+2,66+2,66+2,66+2,67+2,66+2,66+2,66+2,66+2,66+2,19+2
226456,Pablo Fornals,"LM, RM, CAM",79,82,23000000,69000,25,1996-02-22,178,67,19,West Ham United,English Premier League,1,RM,8,nan,2019-07-01,2024,45,Spain,nan,nan,Right,3,4,2,High/High,68,74,79,79,69,68,77,72,50,81,72,79,71,70,78,83,70,66,76,75,75,77,48,81,63,79,70,71,76,80,55,77,70,72,71,9,11,12,7,15,nan,72+2,72+2,72+2,77,77,77,77,77,78+2,78+2,78+2,77+2,79+2,79+2,79+2,77+2,75+2,75+2,75+2,75+2,75+2,73+2,68+2,68+2,68+2,73+2,18+2
224371,J. Bowen,"RM, ST",78,83,21000000,57000,24,1996-12-20,175,70,19,West Ham United,English Premier League,1,SUB,20,nan,2020-01-31,2025,14,England,nan,nan,Left,3,4,1,High/Medium,76,74,73,79,44,65,76,78,64,73,53,80,71,70,67,78,78,75,79,77,82,69,63,78,62,76,56,37,79,74,70,72,49,40,36,14,8,14,10,7,nan,74+2,74+2,74+2,77,77,77,77,77,76+2,76+2,76+2,77+2,71+2,71+2,71+2,77+2,62+2,59+2,59+2,59+2,62+2,59+2,53+2,53+2,53+2,59+2,17+2
188988,M. Lanzini,"CAM, CM, LM",77,77,10500000,64000,28,1993-02-15,167,59,19,West Ham United,English Premier League,1,CAM,10,nan,2016-07-01,2023,52,Argentina,nan,nan,Right,3,4,2,Medium/Medium,71,72,77,81,32,42,74,70,52,79,61,82,76,76,77,80,76,66,84,72,89,76,75,53,31,75,48,27,73,77,73,76,27,36,25,14,9,6,7,15,nan,70+2,70+2,70+2,76,75,75,75,76,77,77,77,75+2,71+2,71+2,71+2,75+2,55+2,53+2,53+2,53+2,55+2,51+2,42+2,42+2,42+2,51+2,18+2
194806,C. Dawson,CB,77,77,7000000,56000,31,1990-05-06,188,77,19,West Ham United,English Premier League,1,RCB,15,nan,2021-07-01,2023,14,England,nan,nan,Right,2,2,2,Low/Medium,51,47,59,57,79,76,65,49,82,66,29,48,45,24,62,67,48,53,56,76,50,57,82,72,78,30,76,80,56,51,66,69,79,78,77,7,8,7,7,5,nan,59+2,59+2,59+2,57,57,57,57,57,57+2,57+2,57+2,59+2,62+2,62+2,62+2,59+2,70+2,72+2,72+2,72+2,70+2,72+2,77,77,77,72+2,14+2
212491,A. Masuaku,"LWB, LB",77,78,11000000,56000,27,1993-11-07,179,70,19,West Ham United,English Premier League,1,SUB,26,nan,2016-08-08,2024,110,Congo DR,nan,nan,Left,2,4,1,High/Medium,80,63,72,79,70,70,78,55,63,75,61,82,72,48,69,78,77,82,77,74,79,75,70,78,67,71,65,69,65,71,49,75,66,75,74,8,7,10,7,7,nan,69+2,69+2,69+2,74,73,73,73,74,73+2,73+2,73+2,75+2,73+2,73+2,73+2,75+2,75+2,72+2,72+2,72+2,75+2,74+2,70+2,70+2,70+2,74+2,15+2
220621,S. Benrahma,"CAM, LM, LW",77,80,14000000,59000,25,1995-08-10,172,67,19,West Ham United,English Premier League,1,LM,22,nan,2021-01-29,2026,97,Algeria,nan,nan,Right,4,4,1,High/Medium,77,72,73,81,38,54,74,72,47,75,64,83,73,69,64,79,79,76,85,73,77,75,56,69,47,73,52,40,75,77,69,74,45,32,23,16,7,8,11,11,nan,71+2,71+2,71+2,77,76,76,76,77,77+2,77+2,77+2,76+2,70+2,70+2,70+2,76+2,60+2,56+2,56+2,56+2,60+2,55+2,46+2,46+2,46+2,55+2,18+2
