sofifa_id,short_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
204838,R. Jiménez,ST,83,83,35500000,120000,30,1991-05-05,188,81,110,Wolverhampton Wanderers,English Premier League,1,ST,9,nan,2019-07-01,2024,83,Mexico,1386,SUB,Right,4,3,3,High/High,72,82,76,81,47,82,73,84,85,81,82,84,75,51,75,82,63,80,75,82,65,84,74,82,84,74,81,53,84,78,92,81,45,38,30,7,11,13,14,10,nan,82+1,82+1,82+1,80,81,81,81,80,80+3,80+3,80+3,79+3,77+3,77+3,77+3,79+3,65+3,66+3,66+3,66+3,65+3,62+3,60+3,60+3,60+3,62+3,18+3
224293,Rúben Neves,CM,82,87,46000000,89000,24,1997-03-13,180,80,110,Wolverhampton Wanderers,English Premier League,1,RCM,8,nan,2017-07-08,2024,38,Portugal,1354,SUB,Right,4,3,2,Low/High,59,75,85,77,74,73,78,66,53,88,82,76,85,84,85,82,64,54,68,80,73,86,67,79,67,84,83,78,65,86,76,84,76,77,70,16,12,10,8,10,nan,71+2,71+2,71+2,75,75,75,75,75,78+2,78+2,78+2,76+2,81+2,81+2,81+2,76+2,76+2,80+2,80+2,80+2,76+2,74+2,73+2,73+2,73+2,74+2,19+2
162347,João Moutinho,CM,80,80,9500000,88000,34,1986-09-08,170,61,110,Wolverhampton Wanderers,English Premier League,1,LCM,28,nan,2018-07-24,2022,38,Portugal,1354,SUB,Right,4,3,3,Medium/High,50,72,84,80,70,66,85,68,68,86,76,76,84,82,83,85,55,45,75,75,85,77,69,75,57,77,74,70,68,83,70,89,71,70,68,13,15,15,13,13,nan,71+3,71+3,71+3,74,74,74,74,74,77+3,77+3,77+3,75+3,79+1,79+1,79+1,75+3,73+3,76+3,76+3,76+3,73+3,72+3,70+3,70+3,70+3,72+3,20+3
210455,Jonny,"LWB, RWB",80,81,22000000,81000,27,1994-03-03,170,70,110,Wolverhampton Wanderers,English Premier League,1,SUB,19,nan,2019-01-31,2025,45,Spain,nan,nan,Right,3,3,2,High/High,75,53,71,76,79,69,78,49,69,76,44,76,66,54,64,77,76,74,71,78,80,68,76,78,59,47,82,79,67,68,46,74,79,81,80,7,10,12,10,6,nan,66+2,66+2,66+2,71,70,70,70,71,70+2,70+2,70+2,73+2,72+2,72+2,72+2,73+2,78+2,76+2,76+2,76+2,78+2,78+2,76+2,76+2,76+2,78+2,16+2
227928,Nélson Semedo,"RWB, RB",80,81,22000000,81000,27,1993-11-16,177,69,110,Wolverhampton Wanderers,English Premier League,1,RWB,22,nan,2020-09-23,2023,38,Portugal,1354,SUB,Right,3,4,2,Medium/Medium,82,57,68,81,75,75,76,50,58,75,42,81,61,30,65,79,81,83,87,79,79,74,81,84,67,60,81,76,72,62,38,79,75,79,77,16,12,10,14,12,nan,69+2,69+2,69+2,74,72,72,72,74,73+2,73+2,73+2,75+2,73+2,73+2,73+2,75+2,78+2,75+2,75+2,75+2,78+2,77+2,75+2,75+2,75+2,77+2,21+2
202048,C. Coady,CB,79,81,17500000,80000,28,1993-02-25,186,80,110,Wolverhampton Wanderers,English Premier League,1,CB,16,nan,2015-07-03,2025,14,England,nan,nan,Right,3,2,1,Low/High,47,58,75,67,79,75,67,51,74,81,56,62,60,62,85,79,41,51,48,80,54,68,84,78,74,64,70,78,50,71,60,80,83,79,74,8,15,10,12,8,nan,64+2,64+2,64+2,64,65,65,65,64,68+2,68+2,68+2,67+2,75+2,75+2,75+2,67+2,73+2,79+2,79+2,79+2,73+2,74+2,77+2,77+2,77+2,74+2,18+2
202750,W. Boly,CB,79,79,14500000,76000,30,1991-02-03,195,97,110,Wolverhampton Wanderers,English Premier League,1,SUB,15,nan,2018-06-09,2023,108,Côte d'Ivoire,nan,nan,Right,4,2,1,Medium/Medium,62,36,64,65,79,83,50,32,79,76,23,63,46,35,74,70,54,69,51,74,47,52,83,67,93,23,77,78,45,61,56,80,77,82,78,7,8,15,10,9,nan,57+2,57+2,57+2,58,58,58,58,58,61+2,61+2,61+2,62+2,67+2,67+2,67+2,62+2,71+2,76+2,76+2,76+2,71+2,72+2,79,79,79,72+2,16+2
212442,José Sá,GK,79,81,15000000,65000,28,1993-01-17,192,84,110,Wolverhampton Wanderers,English Premier League,1,GK,1,nan,2021-07-15,2026,38,Portugal,nan,nan,Right,2,1,1,Medium/Medium,nan,nan,nan,nan,nan,nan,18,15,14,30,17,17,12,21,20,19,42,48,62,76,40,47,70,34,72,18,20,18,17,43,11,32,14,19,15,80,77,62,76,83,44,30+2,30+2,30+2,29,30,30,30,29,30+2,30+2,30+2,29+2,29+2,29+2,29+2,29+2,28+2,28+2,28+2,28+2,28+2,27+2,28+2,28+2,28+2,27+2,78+2
208295,R. Saïss,"CB, CM",78,78,9500000,69000,31,1990-03-26,188,84,110,Wolverhampton Wanderers,English Premier League,1,LCB,27,nan,2016-08-30,2022,129,Morocco,nan,nan,Left,3,3,1,Medium/High,58,56,69,70,79,77,54,52,78,78,47,68,61,48,78,74,52,63,61,78,60,67,82,73,75,58,84,80,51,71,47,76,79,79,77,10,16,6,11,7,nan,64+2,64+2,64+2,64,66,66,66,64,68+2,68+2,68+2,66+2,73+2,73+2,73+2,66+2,72+2,78,78,78,72+2,73+2,78,78,78,73+2,18+2
213956,Adama Traoré,"RW, RWB",78,81,18500000,79000,25,1996-01-25,178,72,110,Wolverhampton Wanderers,English Premier League,1,LW,37,nan,2018-08-08,2023,45,Spain,1362,SUB,Right,2,4,1,High/Low,96,66,67,86,38,81,78,66,40,71,52,92,67,42,54,83,97,96,85,66,88,78,79,77,87,65,70,41,64,67,47,73,37,38,35,13,9,11,12,7,nan,72+2,72+2,72+2,78,76,76,76,78,75+2,75+2,75+2,78+2,67+2,67+2,67+2,78+2,64+2,58+2,58+2,58+2,64+2,59+2,53+2,53+2,53+2,59+2,16+2
